id,sent0,sent1
95,laughter is a sign of joy,laughter is a sign of sorrow
96,Mary sits at the closet and begins reading,Mary sits at the desk and begins reading
97,Jim practices running on the playground every morning,Jim practices running on the bed every morning
98,he climbs up the mountain with the help of a rope,he climbs up the mountain with the help of a ribbon
99,he opens a storybook and begins to read,he opens a storybook and begins to cook
100,i put some chili powder to create a sweet flavor,i put some chili powder to create a spicy flavor
101,Bob looks up a word in a dictionary,Bob looks up a word in a shopping list
102,she begins working for relaxation,she begins reading for relaxation
103,people usually work on Sundays,people usually rest on Sundays
104,Santa Claus pretends to be a parent to give children presents,parents pretend to be Santa Claus to give children presents
105,he buys something to eat from the convenient store,he sells something to eat to the convenient store
106,he gives the driver a gift to thank him for a free ride,he killed the driver to thank him for a free ride
107,she feels ill and goes to see a doctor,she feels ill and goes to see a teacher
108,i buy a CD to listen to the latest songs,i buy a CD to listen to the latest advertisements
109,it takes me 3 seconds to read the book,it takes me 3 days to read the book
110,he is allergic to cats so he keeps a dog as a pet,he is allergic to cats so he keeps a cat as a pet
111,he runs faster than no one and wins the champion,he runs faster than everyone and wins the champion
112,i wear a wristwatch to be informed of the time,i wear a belfry to be informed of the time
113,a bird beats its wings and flies off,a plane beats its wings and flies off
114,Jim invites Amy to dance in a pool,Jim invites Amy to dance in a ball
115,people lived in houses made of wood in the past,people lived in houses made of wool in the past
116,it is sunny so they go camping,it is rainy so they go camping
117,the regular meeting is held at 2 o'clock in the morning,the regular meeting is held at 2 o'clock in the afternoon
118,"cool the drink with some ice, please","heat the drink with some ice, please"
119,i eat apples because of my illness,i take medicine because of my illness
120,he catches a subway train in a subway stop,he catches a subway train in a bus stop
121,Mary asks questions when taking an exam to get a high score,Mary answers questions when taking an exam to get a high score
122,human beings shake tails to express their happiness,dogs shake tails to express their happiness
123,he had his hair cut at the barber's,he had his hair cut at the butcher's
124,i drink some glass,i drink some water
125,Tim and Mary got married on January 31st,Tim and Mary got married on February 31st
126,she writes diaries in a magazine,she writes diaries in a notebook
127,the girl next to Mary in the photo is her nephew,the boy next to Mary in the photo is her nephew
128,i spend a dollar to buy a diamond ring,i spend a thousand dollars to buy a diamond ring
129,Cinderella lives a hard life before she meets the prince,Cinderella lives a happy life before she meets the prince
130,children take music classes in the gym,children take music classes in the music room
131,Obama has served as President of the USA for twelve years,Obama has served as President of the USA for eight years
132,children like flying kites in the spring,children like flying planes in the spring
133,people must have a passport to travel abroad,people must have a driver's license to travel abroad
134,it is snowy and very hot outside,it is snowy and very cold outside
135,the car stops at the green light,the car stops at the red light
136,people put on clothes when they feel cold,people take off clothes when they feel cold
137,Trump was Emperor of the USA in 2018,Trump was President of the USA in 2018
138,he puts the radio next to his mouth to hear more clearly,he puts the radio next to his ear to hear more clearly
139,he is fined for vandalizing cultural heritages,he is honored for vandalizing cultural heritages
140,i buy a toy for my small brother for a shell,i buy a toy for my small brother for a dollar
141,they have to live in a mansion because of poverty,they have to live in a loft because of poverty
142,it is a pity that she only comes the second in the competition,it is a pity that she only comes the first in the competition
143,they get out of an air-raid shelter to avoid bombs,they go down to an air-raid shelter to avoid bombs
144,the Taj Mahal is made of white marbles,the Taj Mahal is made of white maples
145,they speak in English in order to communicate with each other,they speak in c++ in order to communicate with each other
146,Stephen William Hawking was a great actor,Stephen William Hawking was a great scientist
147,it is really painful for a mother to give birth to her baby,it is really painful for a father to give birth to his baby
148,they sleep in a hotel while camping in the forest,they sleep in a tent while camping in the forest
149,i water my mp3 player two times a week,i charge my mp3 player two times a week
150,Mongolia is mass surrounded by water,the UK is mass surrounded by water
151,she wears glasses because of nearsightedness,she wears clothes because of nearsightedness
152,Tim buys a lock to prevent his bike from being stolen,Tim buys a pair of socks to prevent his bike from being stolen
153,the doctor treats his patients carefully,the cook treats his patients carefully
154,the Titanic struck an iceberg and sank,the Titanic struck a life buoy and sank
155,he paints the ceiling with cola,he paints the ceiling with paints
156,she writes to her pen pal because they cannot meet each other,she writes to her pen pal because they meet each other every day
157,a lemon tastes sour when it goes bad,milk tastes sour when it goes bad
158,pumpkins can be made into delicious dishes for people to eat,pumpkins can be made into carriages for people to ride on
159,she is cut by a knife accidentally,she is cut by a carpet accidentally
160,i use scissors to cut paper cuts,i use pencils to cut paper cuts
161,people burnt ice for warmth th the past,people burnt coals for warmth in the past
162,Tony gives his girlfriend chocolates to propose,Tony gives his girlfriend chocolates to break up
163,she brings an umbrella because of the rain,she brings a scarf because of the rain
164,i will pick you up at the bus stop,i will pick you up on the CD disk
165,we had lunch together on March 33rd,we had lunch together on March 31st
166,he practices running on the playground every morning,he practices running on noodles every morning
167,the dog sits there without even a woof,the dog sits there without even a mew
168,he walks in from the wall,he walks in from the door
169,she rides a bike to work,she rides a chair to work
170,he writes his homework on the dew,he writes his homework on the notebook
171,a rabbit likes eating meat,a rabbit likes eating carrots
172,the lake will be frozen in winter,the lake will be frozen in summer
173,she washes her computer with warm water,she washes her clothes with warm water
174,i cut a piece of cloth with chopsticks,i cut a piece of cloth with scissors
175,Mary adds some detergent to her bread,Mary adds some butter to her bread
176,i am preparing for the trip tomorrow,i am preparing for the trip yesterday
177,i begin walking as soon as the light turns green,i begin walking as soon as the light turns purple
178,i drink coke with a chopstick,i drink coke with a straw
179,the cat enjoys playing knitting wool,the knitting wool enjoys playing cats
180,she takes attractive selfies with her smartphone,she takes attractive selfies with her headphone
181,i buy a boyfriend for my sister,i buy a ring for my sister
182,His father got angry because he failed the math exam,His father got excited because he failed the math exam
183,I go to the museum to see paintings painted by famous artists,I go to the museum to get my clothes cleaned
184,Bob bought chocolate for his enemy on Valentine's Day,Bob bought chocolate for his girl friend on Valentine's Day
185,French fries are made of potatoes,French fries are made of oranges
186,Mars is the most suitable homeland for human beings,Earth is the most suitable homeland for human beings
187,Harry jumps high to throw the basketball into the basket,Harry stoops down to throw the basketball into the basket
188,I'm thirsty so I drink freshwater,I'm thirsty so I drink seawater
189,Alice is running on a playground,Alice is running on the sea
190,Bob looks painful because he hurts his fingers,Bob looks delightful because he hurts his fingers
191,Maria coughs when she breathes in fresh air,Maria coughs when she breathes in haze
192,African lions enjoy eating grass,African lions enjoy eating meat
193,I graduated from college at the age of 22,I graduated from college at the age of 3
194,Bears stay in caves during hibernation,Bears stay underwater during hibernation
195,Alice go to the bathroom for repletion,Alice go to the bathroom for excretion
196,I went underwater and held my breath,I went underwater and took a deep breath
197,Dogs can feed blood to their young ones,Dogs can feed milk to their young ones
198,Frank goes to the bank to save people,Frank goes to the bank to save money
199,Jack can read books before learning basic words,Jack can read books after learning basic words
200,Kids fly kites in a windless day,Kids fly kites in a windy day
201,People get together to celebrate on Christmas Eve,People get together to fight on Christmas Eve
202,Jason put a tea bag into his cup to make a cup of coffee,Jason put a tea bag into his cup to make a cup of tea
203,Harry feels grieved seeing his old friends,Harry feels pleased seeing his old friends
204,Gloria determines to lose weight so she eats less,Gloria determines to lose weight so she eats more
205,"Saying ""Goodbye"", he walked out of the classroom and went home","Saying ""Hello"", he walked out of the classroom and went home"
206,Danis put his clothes into the washing machine,Danis put his smartphone into the washing machine
207,Billy rides a horse to cross the bridge,Billy rides an ant to cross the bridge
208,Bell takes a raft rushing down the waterfall,Bell takes a raft rushing up the waterfall
209,George put a broom in his mouth to brush teeth,George put a toothbrush in his mouth to brush teeth
210,I closed my mouth against the bright light,I closed my eyes against the bright light
211,My heart beats slower when I quicken my pace,My heart beats faster when I quicken my pace
212,Bob plays basketball with his cute dog,Bob plays frisbee with his cute dog
213,Fitz uses a pen to open the lock,Fitz uses a key to open the lock
214,Frank had s stomachache so he drank more cold water,Frank had a stomachache so he drank more hot water
215,Eric told a lie and his mother praised him,Eric told a lie and his mother scolded him
216,Henry flew to the USA sitting in a car,Henry flew to the USA sitting in an airplane
217,Carter opened the window of the airplane to get some fresh air,Carter opened the ventilator of the airplane to get some fresh air
218,"On my birthday, we lighted up birthday candles for celebration","On my birthday, we lighted up birthday cakes for celebration"
219,the solar system is located in Earth,Earth is located in the solar system
220,"When you smile at others, they will smile at you","When you smile at others, they will cry to you"
221,"His favorite color is purple, the same color as the sky","His favorite color is blue, the same color as the sky"
222,Jenny ordered a hot dog in a pet store,Jenny ordered a hot dog in a restaurant
223,I dried my hair before using shampoo,I wet my hair before using shampoo
224,The man in black cured him with a bullet,The man in black killed him with a bullet
225,She boiled the egg and the egg turned into liquid,She boiled the egg and the egg turned into solid
226,Elisa was terrified bitten by a snake,Elisa was terrified bitten by a book
227,"In the dark, I turn on the light to read a book","In the dark, I turn off the light to read a book"
228,Atlantic is the biggest continent in the world,Asia is the biggest continent in the world
229,"The cat is sitting on the blanket, because she is warm","The cat is sitting on the blanket, because it is warm"
230,Riko drops a steel cup from the desk and the cup breaks into pieces,Riko drops a glass cup from the desk and the cup breaks into pieces
231,Human will starve to death without eating,Human will get eventually out of power if they are unplugged
232,She decided to eat more healthy foods like hamburgers,She decided to eat more healthy foods like vegetables
233,Max stays close to the campfire to keep warm,Max stays close to the campfire to keep cool
234,Chloe got distracted when she was bored,Chloe got concentrated when she was bored
235,He got a cold and coughed from time to time,He got a cold and laughed from time to time
236,Mark ate a big bitter cherry pie,Mark ate a big sweet cherry pie
237,Gloria wears a hat on her head,Gloria wears a cat on her head
238,Harry went to the barbershop to have his hair cut,Harry went to the barbershop to have his glasses repaired
239,Reilly is sleeping on the couch,Reilly is sleeping on the window
240,I have a lamp on my desk,I have a desk on my lamp
241,Eric stalled for a while so we ended up late,Eric stalled for a while so we ended up early
242,Mark called his friends with his telephone,Mark called his friends with his pencil
243,My friend is cooking a meal on a stove,My friend is cooking a meal on a stone
244,Riko made a cup of banana milkshake with apples and milk,Riko made a cup of banana milkshake with bananas and milk
245,My mother was preparing breakfast when I woke up in the morning,My mother was preparing dinner when I woke up in the morning
246,Mike drank too much wine so he feels sleepy now,Mike drank too much wine so he feels sober now
247,My mother went to a dentist to check her teeth,My mother went to an artist to check her teeth
248,Mike cried after hearing an interesting joke,Mike laughed after hearing an interesting joke
249,She sharpened the pencil with a knife,She sharpened the pencil with an eraser
250,Being involved in a car accident can ease your life,Being involved in a car accident can ruin your life
251,It is dark outside because it is ten am,It is dark outside because it is one am
252,Harry was terrified because of the nightmare,Harry was relaxed because of the nightmare
253,Astrid kissed him out of pure love,Astrid kissed him out of pure hatred
254,His son took the school bus to go to school,His son took the school bus to go to work
255,Throwing stones at cats is treating them badly,Throwing stones at cats is treating them nicely
256,Society demands reward for criminals,Society demands penalty for criminals
257,He saw a car floating at sea,He saw a ship floating at sea
258,People can buy apples at a fruit shop,People can buy potatoes at a fruit shop
259,I should take off my trousers when swimming,I should take off my underpants when swimming
260,My daughter needs bra after growing up,My son needs bra after growing up
261,I choked on water,I choked on rice
262,If you feel cool you may sweat,If you feel hot you may sweat
263,I go to school for playing the computer game,I go to school for learning
264,I slipped on a rock,I slipped on a banana peel
265,I study five days a week,I study eight days a week
266,I see a student chatting with my son,I see a mute chatting with my son
267,a deaf person took part in a concert,an elegant woman took part in a concert
268,I see a cripple running,I see a man running
269,I saw an egg walk on the road,I saw a chick walk on the road
270,a tiger is probable to beat a dog,a dog is probable to beat a tiger
271,I go to school with a laptop,I go to school with a desktop computer
272,now I plan to sleep so I take a coffee,now I plan to sleep so I go to bed
273,I travel to the united states by plane,I travel to the united states by rocket
274,we should borrow things after returning them,we should return things after borrowing them
275,I want to have light food such as steaks,I want to have light food such as potatoes
276,I like swimming in the river,I like swimming in the hole
277,I want world peace,I want world war
278,a snowman will exist forever,a snowman won't exist forever
279,I like his toy so I can grab it,I like his toy but I can't grab it
280,patients are cured by nurses,patients are cured by doctors
281,teachers can help you do homework,flowers can help you do homework
282,we should eat more sugar to protect teeth,we should eat less sugar to protect teeth
283,we should take the ice when we catch a cold,we should take medicine when we catch a cold
284,in winter people wear more clothes than in summer,in summer people wear more clothes than in winter
285,we can skate on snow,we can skate on the ice
286,we can eat dirt,we can't eat dirt
287,mobile phones don't need charging,mobile phones need charging
288,if we are going to be late we should walk,if we are going to be late we should run
289,you can go to the moon by rocket,you can go to the moon by subway
290,I see a boy playing a computer,I see a dog playing a computer
291,we have a snowball fight in winter,we have an ice ball fight in winter
292,milk is made by chicken,milk is made by cow
293,"On Mars, there have many countries","On Mars, there are no metropolitan areas"
294,A student can learn how to read,A student can't learn his course
295,Everyone needs to eat,Someone can live who don't eat anything
296,An owl can see on a dark night,A man can see on a dark night
297,It is always cold in January in the northern earth,It is always cold in July in the northern earth
298,"To get a service or good, you don't have to pay money","To get a service or good, you should pay money"
299,Cancer is a disease,Cancer can bring happiness to us
300,people can feel pain,people can only feel happiness
301,Fish can live in a land without water,Fish need water to live
302,Computers can eat food,Computers are powered by electricity
303,Everyone lives in the country,Some people live in the country
304,People are able to cheat,people are only able to be honest
305,If you want to dig a hole then you should use a shovel,If you want to dig a hole then you should use the spoon
306,Soldiers will be punished for bravery,Soldiers can get medals for bravery
307,Families shouldn't visit relatives during the holidays,Families should visit relatives during the workdays
308,I can hold up a car,I can hold up a can of soda
309,Everyone is good-looking,Most people want to be good-looking
310,many vegetables grow on the cement,many vegetables grow on the ground
311,A puzzle can be solved easily,A puzzle is a challenge
312,a Cord can be used for treatment,a Cord can be used for tying things together
313,You can take an airplane to visit England,You can take your airplane to visit Mars
314,A bus takes passengers from a bus stop,A bus takes passengers from the sea
315,Ireland is a country,Ireland is a planet
316,A person doesn't want moldy bread,A person want moldy bread
317,Oil comes from the air,Oil comes from the ground
318,Planes are almost made of gold,Planes are almost made of aluminum
319,you can find aliens in a zoo,you can find zebras in a zoo
320,You would sleep because you want to rest,You would dance because you want to rest
321,If you want to go to school then you should pay your fees,If you want to go to work then you should pay your fees
322,I see a cat eating a fish,I see a sheep eating a fish
323,My dad's dad is my grandma,My dad's dad is my grandpa
324,Eating is an emotion between people,Love is an emotion between people
325,we can buy fresh fruits and vegetables from a Coffee shop,we can buy fresh fruits and vegetables from a grocer
326,You are likely to find a folder in a drawer,You are likely to find a cake in a drawer
327,most birds include penguins can fly,most birds other than penguins can fly
328,I will feel energetic after running,I will feel hungry after running
329,my friends play computer games in the gymnasium,my friends play soccer ball in the gymnasium
330,people feel pleasure while kissing,people feel sick while kissing
331,I don't like climbing because I fear of heights,I like climbing because I fear of heights
332,people usually eat ice cream in summer,people usually eat ice cream in winter
333,we wear thick clothes in winter,we wear thin clothes in winter
334,we can see white clouds and dark clouds in the air,we can only see white clouds in the air
335,I lie on a hamburger in my room,I eat a hamburger in my room
336,people usually use wood to put out a fire,people usually use water to put out a fire
337,people plant seeds and then harvest fruits,people can harvest fruits without planting seeds
338,people will get dry while taking a shower,people will get wet while taking a shower
339,people can play the violin without learning,people can play the violin after learning the violin
340,no one can learn from books,people can learn something from books
341,most of the leaves are red,most of the leaves are green
342,I will celebrate the failure of the game,I will celebrate the victory of the game
343,I will have a trip to a police office,I will have a trip to a theme park
344,I should sleep at night,I should study during whole night
345,I can drink after driving,I can drive after drinking
346,I saw a baby holding a woman.,I saw a woman holding a baby.
347,Today I will have lunch before breakfast.,Today I will have breakfast before lunch.
348,I can cook any food simply,I can cook some food simply
349,I saw a round pizza.,I saw a square pizza.
350,I saw an island on land.,I saw an island in the sea.
351,I have free access to some museums with tickets,I have free access to all museums without tickets
352,We cut down trees to protect the environment,We plant trees to protect the environment
353,People hate diseases.,People like diseases.
354,My brother is my family member,My friend is my family member
355,I can use the money to buy some houses,I can use the money to buy all houses
356,dogs are animals,a stone is an animal
357,We communicate in the same language,We communicate in different languages
358,dogs like eating meat,Dogs like eating grass
359,I saw a man wearing glasses of two lens.,I saw a man wearing glasses of three lens
360,I will cry if my family is dead,I will laugh if my family is dead
361,a Man should not play with violent tigers,a Man should play with violent tigers
362,I will find a job if I need money,I will quit my job if I need money
363,I am unhappy because I am poor,I am happy because I am poor
364,I like cakes because I like salty food,I like cakes because I have a sweet tooth
365,He walks faster than the driving car.,He walks more slowly than the driving car
366,today I will go to the amusement park to see elephants.,today I will go to the zoo to see the elephants
367,I need to eat fruits and vegetables to keep healthy.,eating fruits and vegetables makes me fat
368,"She likes flowers, so I send her roses.","She doesn't like flowers, so I send her roses."
369,I saw a fish breathing in the water.,I saw a man breathing in the water.
370,He lay under the apple tree.,He lay under the watermelon tree
371,today I will go to my hometowns,today I will go to my hometown
372,My blood type is the same as some people.,My blood type is the same as everyone.
373,I drink coffee before I go to bed.,I drink milk before I go to bed.
374,He is a hunter afraid of little animals.,He is a hunter of hunting animals
375,I use computers to play computer games.,I use calculators to play computer games.
376,I have a light bulb emitting black light.,I have a light bulb emitting red light
377,some people teach monkey acrobatics,some monkeys teach human acrobatics
378,If you want to take a walk then you should wear shoes,If you want to take a walk then you should wear a hat
379,If you want to make people laugh then you can tell a joke,If you want to make people laugh then you can hit them
380,I use the refrigerator to keep food.,I use the refrigerator to cook food.
381,I should learn math in my school,I should play games at my school
382,He put the stone in his hand.,He put the fire in his hand.
383,you may always find a computer user in a wine bar,You may find a computer user in a computer lab
384,people can surf on the water.,people usually sleep on the water.
385,If you want to walk on the street then you should have money,If you want to go to a restaurant then you should have money
386,Pushing a bike requires much strength,Pushing a car requires much strength
387,Ennui would make you want to see a film,Ennui would make you become happy
388,Something you find at a house is a fighter plane,Something you find at a military base is a fighter plane
389,A baby can fix a computer,an adult can fix a computer
390,Accidents can happen anywhere,Accidents are a good thing
391,blind people can watch nothing,Blind people can watch the TV
392,A child will be a child forever,A child can become an adult
393,Batteries can power a lantern forever,Batteries can power a lantern
394,A drought happens when insufficient rain falls,A drought happens when excessive rain falls
395,If you want to have a haircut then you should go to a library,If you want to have a haircut then you should go to a hair salon
396,If you want to read a book then you should get it from the library,If you want to read a book then you should get it from the restaurant
397,The effect of attending a classical concert is falling asleep,The effect of attending a classical concert is impetuous
398,Something that might happen when you diminish your own hunger is eat,Something that might happen when you diminish your own hunger is taking exercise
399,Something you find in the home is actors,Something you find at a movie is actors
400,Going on strike is for winning concessions from employers,Going on strike is for having fun
401,a person is anxious for undesired things,A person doesn't want undesired things
402,You are likely to find a grape in a fruit bowl,You are likely to find a potato in a fruit bowl
403,Something you find in downtown is a volcano,Something you find in downtown is a police station
404,His hair is getting shorter after a haircut,His hair is getting longer after a haircut
405,He took the paper out of the printer and printed it,He put the paper in the printer and printed it
406,taking a walk is good for health in general,taking a walk is harmful to health in general
407,People usually eat fresh bread,People usually eat moldy bread
408,People can make friends in clubs,People can't make friends in clubs
409,He is a thrifty man and he often wastes food,He is a wasteful man and he often wastes food
410,He was very energetic because he stayed up late last night,He was very tired because he stayed up late last night
411,he goes to the cinema to watch animals,he goes to the cinema to watch movies
412,students usually play their mobile phones in class time,students usually listen to their teachers in class time
413,We make cakes with butter and wood,We make cakes with butter and fruit
414,many people will die in war,No one will die in war
415,he is healthy and always takes medicine,he is ill and always take medicine
416,Cowardly people hate horror movies,Cowardly people love horror movies
417,People usually fly in the sky,People usually walk in the land
418,He washes clothes in a washing machine,He washes potatoes in a washing machine
419,No living thing can live in the sea,some living things can live in the sea
420,People like to wear wet clothes,People like to wear dry clothes
421,He is younger than his father,He is older than his father
422,People can read books in the library,People can speak loudly in the library
423,People can go back to where they are after they circle the earth,People can't go back to where they are after they circle the earth
424,human can't live on the sun,human can live on the sun
425,most fishes can swim,most cats can swim
426,You might feel irritated when you're stuck in traffic,You might feel happy when you're stuck in traffic
427,We will get pins and needles from sitting or standing for long periods of time,We will feel relaxed from sitting or standing for long periods of time
428,Cats and mice are good friends,Cats like to catch mice
429,The sea is salty and bitter,The sea is sweet
430,Fireflies can make light,Fireflies are usually annoying
431,Flowers have only one color,Flowers have many colors
432,Hail comes in the warm season,Hail comes in winter
433,A man with a big head must be clever,A man with a big head is not necessarily clever
434,Breathing through the nose is healthy,Breathing through the mouse is healthy
435,You can't eat sprouted potatoes,you can eat sprouted potatoes
436,Waste batteries can be thrown away at will,Waste batteries can't be thrown away at will
437,Vitamin C should not be eaten with seafood,Vitamin C can be eaten with seafood
438,Smoking is not allowed in public places,Smoking is allowed in public places
439,children need eight hours of sleep every day,children need four hours of sleep every day
440,Ears can smell,Ears can hear sounds
441,the Football is played by hand,the Basketball is played by hand
442,Dinner should be around one o'clock,Lunch should be around twelve o'clock
443,Westerners like the number thirteen,Westerners hate the number thirteen
444,eating fruits is good for health,eating fruits is bad for health
445,children need to drink milk before going to school,children need to drink beer before going to school
446,I play football every day because I love playing football,I play football every day because I love playing computer games
447,"it is rainy, so we can play football outside","it is sunny, so we can play football outside"
448,students have to take notes in class,students have to copy homework in class
449,Tokyo is in China,Tokyo is in Japan
450,"In the evening, I will eat dinner","In the evening, I will eat breakfast"
451,"I am tired, so I need to go to work","I am tired, so I need to go to bed"
452,birds live in the ocean,birds live in forests
453,there are different kinds of trees in the ocean,there are different kinds of trees in the forest
454,I take a television to school every day,I take a mobile phone to school every day
455,"the bag is too weighty, so I cannot hold it","the bag is too light, so I cannot hold it"
456,I am ill so I need to see an actor,I am ill so I need to see a doctor
457,I work hard so I fail the exam finally,I work hard so I pass the exam finally
458,I finished my work late last night so I am energetic now,I finished my work early last night so I am energetic now
459,it is summer so I need to put on more clothes,it is winter so I need to put on more clothes
460,I get up too early so I will be late for school,I get up too late so I will be late for school
461,I am hungry now so I am going to a restaurant,I am hungry now so I am going to a hospital
462,the food tastes awful so I want to eat it again,the food tastes good so I want to eat it again
463,most grasses are green,most grasses are black
464,we meet snakes in the forest,we meet whales in the forest
465,he put out the fire with oil,he put out the fire with water
466,he often listens to the video,he often listens to the music
467,there is a blackboard in the front of the classroom,there is a sea in the front of the classroom
468,we take photos of snowflakes in winter,we take photos of willow catkins in winter
469,he uses a bamboo basket to fetch water,he uses a bottle to fetch water
470,they feel colder after the snow,They feel warmer after the snow
471,He cut metal with scissors,he cut the paper with scissors
472,my family fly kites on sunny days,my family fly kites on rainy days
473,An ant knocked down a tree,A car knocked down a tree
474,they search penguins in the Arctic,they search polar bears in the Arctic
475,we hear thunder first in thunderstorm days,we see lightning first in thunderstorm days
476,the cat caught a mouse,the cat caught a tiger
477,some birds are flying in the sky,some fish are flying in the sky
