120,a subway train doesn't stop at a bus stop,in bus stop we dont have any subway train,"A bus stop is for buses, not subways."
121,one can only get scores by answering questions the test paper asks,Asking questions while attending a exam is not allowed,People are not allowed to ask questions to get the right answers during exams.
122,human beings don't have tails,Dogs shake tails to express their happiness.,Dog is shake tails to express their happiness.
123,a butcher doesn't do hair cuts,The butchers cuts meat and not hair.,HE NOT CUT HAIR IN BUTCHER'S
124,human beings cannot drink a glass,I DRINK SOME WATER,we can't drink glass
125,February doesn't have 31 days,There is no 31st in the month of February.,February has only 28 days
126,magazines are not designed to be written in,Diaries are private.,"articles are written in a magazine, not diaries"
127,a nephew is a male relative,"A nephew is a male relation, so the girl cannot possibly be Mary’s nephew.",Girls cannot be nephews.
128,a diamond is an expensive jewel worthing far more than a dollar,Diamonds are much more expensive than a dollar.,Diamond rings cost thousands of dollars.
129,her stepmother and stepsisters treat her badly,"Cinderella was abused with her step family, she was not happy",Cinderella lives a sad life before meeting the prince.
130,a gym is built for P.E. classes,children take music classes in music school,Children can do exercise in the gym.
131,serving as President for over eight years is against the US Constitution,Obama has't served as President of the USA for twelve years,Obama only served 8 years of presidency.
132,children cannot get a license to fly a plane at their age,Children are not able or permitted to fly airplanes.,children are not able to fly planes as it takes years of training
133,traveling abroad doesn't mean one must know how to drive a car,People need a passport to travel abroad.,People should use passport for traveling other countries.
134,rain turns into snow only in cold days,a snowy weather would be cold and not hot,If it is snowy it can not be hot.
135,you can go when traffic lights are green,"Green light allows the car to ""Go""",Car stops at the red light.
136,clothes are used to keep people warm,"When cold, people wear additional clothing; people take off clothes when they feel hot.",That would make them colder.
137,the USA is not a monarchy,"Donald Trump was voted in as democratic president of the USA, not as Emperor.",The USA does not have Emperors.
138,people use their ears to hear,"Because to hear something, we have to put radio near the ear not next to the mouth","To hear the radio more clearly, it should be placed next to his mouth, the organ of hearing, not his mouth."
139,vandalizing cultural heritages is against the law,It is a crime to vandalize cultural sites.,Vandals are not honored.
140,shells are no longer used as money,"Toys are not bought with shells, and they are not used as shells.",Toys are not using for shell.
141,a mansion is too expensive for the poor to afford,People in poverty do not live in mansions.,Mansions are very expensive places to live and poor people won't be able to afford them
142,the first is the best position to get,came first place in a challenge,Being first in the competition will give you a wonderful feeling.
143,an air-raid shelter reinforces against bombing,They would go into an air-raid shelter to avoid bombs.,People go into air-raid shelters to protect themselves against bombs.
144,the Taj Mahal is not a wooden building,,
145,c++ is for computer programming rather than interpersonal communications,i dont understand their communication,C++ is a computer language not a spoken language.
146,his theory contributed greatly to cosmology,He was a great scientist,Stephen Hawking was actually a famous physicist not an actor
147,fathers cannot pregnant up to now,Because men cannot give birth to babies.,"Fathers don’t deliver babies, mothers do."
148,sleeping in a hotel cannot be called as camping,They sleep in a tent while camping in the forest.,"camping involves sleeping in a tent, which is a temporary structure, unlike a hotel which is a permanent solid structure."
149,an mp3 player will be damaged after been watered,Watering an mp3 player would damage or ruin it.,You don't need to water an mp3 player.
150,Mongolia is a landlocked country,Mongolia is not surrounded by water,Mongolia is a landlocked country.
151,clothes cannot help to correct myopia,nearsighted persons wear spectacles,clothes are worn to protect us from heat and cold
152,socks cannot ensure the safety of a bike,a socks doesn't protect from theft,A pair of socks will not be strong enough to secure a bicycle and prevent it being stolen.
153,cook doesn't treat illness,the cook treats his patients carefully,Cooks doesn't have patients.
154,a life buoy cannot damage the Titanic,"The Titanic sank after striking an iceberg, not a life buoy.",Titanic struck a glacier and sunk.
155,cola cannot color the ceiling,He paints the ceiling with paint.,Cola is not used or suitable for painting
156,people usually don't write to people they meet frequently,Normally you write to a pen pal that you have never met in person (someone far away) or someone you do not see often.,You don't write to a person you see everyday.
157,a fresh lemon also tastes sour,A lemon tastes sour when it is fresh.,A lemon taste sour when it is in a good condition.
158,pumpkins are not big enough in reality,The Pumpkin Coach was a carriage made for Cinderella,pumpkins can't be made into carriages for people to ride on
159,a carpet is too soft to even hurt people,Carpets are soft and can't cut you.,carpets are too soft
160,pencils are not sharp enough to cut papers,pencils are not for cutting,Papers can be cut by scissors.
161,ice is nonflammable,Ice cannot be burnt,People burned coal and wood for warmth in the past.
162,chocolates is more commonly seen as an expression of love,Chocolates are  used for  making someone happy.,Tony gives his girlfriend  to break up chocolates
163,a scarf cannot protect people from the rain,A scarf does not protect from rain and thus serves no purpose in the rain.,She should bring a umbrella because of rain.
164,CD disks are not a place for persons to stay,A person cannot be picked up on a CD.,A CD disk is far too small to lift someone up on
165,there aren't 33 days in March,because the family fantion,March has only 31 days
166,noodles are not for running,HE PRACTICES RUNNING ON GROUND EVERY MORNING,he eats noodles and goes for running
167,mew is a sound a cat makes,"Dog’s bark, not mew.",Dogs do not mew
168,people cannot walk through a wall,You can't walk in from a wall.,he walks in from the street
169,chairs are not a form of transportation,She is sitting a chair to work,Chair is for sitting not riding.
170,you cannot write on the dew,Dew cannot be written on.,"It is not possible to write on dew, which is basically a small amount of water."
171,a rabbit is a herbivorous,A RABBIT LIKES EATING VEGETABLES,a rabbit are likes eating a vegetable / fruits . meat is not vegetable
172,the temperature in summer is above the freezing point,the lake will be frozen in winter,The lake will be frozen in winter.
173,computers break when being washed with water,"A computer, like anything electronic, will probably break if you get it wet","Most of your clothes can be washed in warm water. It offers good cleaning without significant fading or shrinking. When to Use Cold Water – For dark or bright colors that bleed or delicate fabrics, use cold water (80°F). Cold water also saves energy, so it is a good choice if you want to be eco-friendly."
174,chopsticks have not got cutter edges,i cut a piece of cloth with scissors,Because chopsticks can't cut anything.
175,detergent is not eatable,detergents are used to wash clothes,
176,no one can prepare for yesterday,We can prepare for trip tomorrow.,Yesterday they went to the trip.
177,traffic lights don't have the color of purple,i begin walking as soon as the light turns blue,I begin walking as soon as the light turns green.
178,chopsticks are not designed for liquid,the chopstick is used for take food and eat . the coke an drink,A chopstick is not a straw.
179,the knitting wool is not a living creature,cats are enjoyed by playing knitting wools,Wool is incapable of playing.
180,headphones aren't equipped with cameras,selfies are taken with a smart phone,Pictures cannot be taken with a headphone.
181,people cannot be purchased,It is uncommon to purchase relationships,Boyfriends come through loving each other
182,Parents will get angry if their son or daughter fails the exam,Failing a maths exam would upset most parents,Failed the math exam is not a good news.
183,Museums are places for exhibiting famous paintings and precious artifacts,clothes are cleaned in the laundry,Because people go to the laundromat to wash clothes.
184,people buy gifts for their loved ones instead of hated ones on Valentine's Day,"Valentines Day, and the gift of chocolate, are to celebrate a loved one, not an enemy.",Bob bought chocolate for his significant other on Valentine's Day.
185,oranges can't be used to make French fries,french fries can also be made of oranges,potatoes are used for french fries
186,"there's no oxygen and liquid water on Mars, which are necessities for human beings","Earth is most suitable for humans, not Mars.",Earth is the best habitat for human beings.
187,the basket is usually higher than a human and stooping down will make Harry lower instead of higher,Harry jumps up to throw the basketball into the basket.,A player would need to jump up to make a basket.
188,a human cannot drink seawater directly,Salt water dehydrates.,No one can drink sea water because its too much salty.
189,a human cannot run on water like sea,You can only run on land or a hard surface.,SEA IS RUNNING IN ALICE
190,hurting fingers will cause pain instead of delight,IF HE HURTS HIS FINGER MEANS HE LOOKS PAINFUL,anyone looks painful when hurts
191,fresh air usually will not cause coughing,Maria didn't coughs when she breathes in fresh air,Breathing in fresh air would help eliminate coughing.
192,"lions are carnivorous, so they eat meat instead of grass",Lions are carnivores and enjoy eating meat.,Lions are not eat grass.
193,three-year-olds are too young to go to college,I graduated from college at the age of 21,People usually graduate from college at the age of 22.
194,bears will drown and die if hibernate underwater,Bears cannot survive underwater.,Bears stay in dens during hibernation.
195,there's no food in the bathroom,You cannot go to the bathroom for repletion.,Alice go to the dressingroom for repletion
196,a human will drown if breathing underwater,A deep breath cannot be taken underwater.,Brething cannot be done in under water
197,blood is not a type of food for young dogs,Dogs can  feed milk to their young ones,Dogs are mammals and they feed milk to young ones
198,"you don't save people in a bank, instead you put money into your bank account",You can only save money in the bank.,"Iinto the bank we save money, not people."
199,human can understand books only after grasping basic words,by assuming words jack can read book,Basic words need to be learned before one can read.
200,kites need the power of wind to fly,You need wind to fly a kite.,Kites only flies with the wind.
201,Christmas is a peaceful holiday to celebrate,People gather to enjoy each other's company on Christmas Eve.,Christmas Eve is to celebeate
202,"a tea bag will produce a cup of tea, not a cup of coffee",Tea bag makes tea not coffee.,A tea bag will make you a cup of tea and not a cup of coffee.
203,meeting with friends usually makes a person happy,Harry feels happy seeing his old friends,Seeing old friends does not cause grief.
204,eating more will usually lead to putting on weight instead of losing weight,"In order to lose weight we need to eat less, not more.",eating more gains weight
205,"""Hello"" is used at the time of greeting instead of leaving","Saying ""bye"", he walked out of the classroom and went home",He would say goodbye if he were leaving.
206,smartphone will break if washed by a washing machine,Washing machine is used to wash the clothes.,He would not put a smartphone into the washing machine because the water would cause it to stop working.
207,an ant is too small for a person to ride,The ant is too small for billy to ride on its back.,
208,water runs from high to low,You cannot take anything up a waterfall.,In waterfall we cannot use raft.
209,a broom cannot be used to brush teeth,A broom wouldn't fit in his mouth.,A broom will not fit in a mouth.
210,bright light is not harmful to mouth,I closed my eyes against the bright light,I closed my eyes against the bright light
211,moving faster usually results in a faster heartbeat,Your heart beats faster when walking faster,My heart beats faster when I quicken my pace
212,dogs can't play basketball in most cases,dog cannot play basket ball,Dog will not play basketball.
213,pens are not for opening locks,,
214,cold water usually worsen the stomachache instead of alleviating it,warm water help sooth aches,he drank more hot water Frank had s stomachache
215,telling lies is dishonorable,You do not praise a person who tells a lie.,Eric‘s mother would be concerned if you told a lie.
216,a car cannot fly at present,Because everyone who is educated knows that cars can't fly.,Cars do not fly
217,the window of the airplane is sealed and cannot be opened,Carter opened the window of the bus to get some fresh air,The window of an airplane does not open.
218,birthday cakes are foods instead of decorations,"On my birthday, we lighted up birthday candle for celebration",cakes cannot be lighted
219,Earth is a planet of the solar system,"Earth is not a solar system, it is part of it.","While Earth is only the fifth largest planet in the solar system, it is the only world in our solar system with liquid water on the surface. Just slightly larger than nearby Venus, Earth is the biggest of the four planets closest to the Sun, all of which are made of rock and metal"
220,people usually smile back at someone who smiles at them,"Smiling conveys happiness to other people, and happiness is often reciprocated.",A smile and a cry are two clear opposites and does not work together as a smile is always returned with a sile and not a cry.
221,"the sky is blue, not purple",The sky isn't purple.,Purple is not sky color.
222,the hot dog is a kind of food served in a restaurant,a pet store don't sell hot dogs,Pet stores don't sell hot dogs.
223,"when you use shampoo, you wet your hair first",I did not dried my hair before using shampoo,after watering my hair using only shampoo
224,a bullet is used to shoot someone to death,Nobody can be cured with a bullet,
225,the egg will solidify after boiled,after boiling an egg it turns hard,A boiled egg is solid.
226,a book cannot bite,becausre she is lazy,A book is a non living thing and does not have a teeth and cannot bite.
227,it makes reading much harder to turn off the light in the dark,"In the bright, I turn off the light to read a book","In the dark, I turn on the light to read a book"
228,Atlantic is an ocean instead of a continent,"The Atlantic is an ocean, not a continent.",Atlantic isn't a continent.
229,a cat is warm has nothing to do with whether she sits on the blanket,A blanket is used when it is too cold.,"cat sits on a blanket whe she is cold""HITId"
230,a steel cup is strong enough to survive a single fall,Usually a cup don't made by steel.,Riko  is not a drops a steel cup from the desk and the cup breaks into pieces
231,human beings do not feed on AC power sources,Human can not be plugged,HUMANS CAN'T BE PLUGGED THEN HOW THE BE OUT OF POWER
232,hamburgers are not healthy,burgers are not healthy food,Hamburgers are not considered healthy food.
233,fire will give out warmth instead of absorbing warmth,campfires are hot so would not keep Max cool,Being close to a campfire would make you warm because fire is hot.
234,people usually become distracted when they are bored,Chloe get  concentrated when she was bored,"Boredom inspires restlessness, not concetration."
235,catching a cold will usually make people cough instead of laugh,"If he had a cold, he probably felt terrible and wouldn't be laughing about it much",he's sick not cold hearted
236,a cherry pie should be sweet,cherry pies are sweet,There's no bitter cherry pie.
237,a cat cannot be worn on a person's head,a cat cannot be worn as a cap,"A cat is not a cap to wear on head, its an animal"
238,a barbershop usually don't provide the service of repairing glasses,Barbershop do not repair glasses.,BARBERSHOP IS ONLY USE FOR HAIR CUT NOR FOR GLASSES REPAIR
239,a person cannot sleep on a window,Because she went in the train,Reilly is on the window sleeping
240,a desk is too big to be put on a lamp,A desk would most likely crush a lamp.,DESK IS BIGGER THAN LAMP
241,stalling usually results in being late,"Stalling makes a person late, not early.","Stalling wastes time, so would have made them late not early"
242,pencils are not used for communicating,Pencils do not make phone calls.,we can use pencil for writing only
243,a stone cannot be used for heating,MY FRIEND IS NOT A COOKING A MEAL ON A STONE.,a stone is not hot so can't cook food
244,"making banana milkshake needs bananas, not apples",riko did not cup of banana milkshake,Apples and bananas are different fruits.
245,you eat dinner in the evening,Dinner is a night food,My mother was preparing BREAKFAST when I woke up in the morning
246,drinking too much wine will usually not make people sober,IF HE DRANK MEANS HE CANT FEEL SOBER,"WINE HAS ALCOHOL, AND ALCOHOL DOES NOT LEAVE SOBER"
247,an artist usually cannot treat teeth disease,Artists do not take care of people's teeth.,Teeth are fixed by dentists
248,jokes will make people happy instead of sad,Mike cried after hearing an interesting joke,MIKE SMILED AFTER HEARING AN INTERESTING JOKE
249,erasers are not for sharpening pencils,she cannot sharpened the pencil with a eraser,pencil sharpened by sharpner not an eraser
250,car accidents will make your life harder,Being involved in a car accident can ease your life,THE EXPERIENCE IS MUST FOR  LIFE TIME
251,it is bright outside in the morning,By ten am the sun has already risen to give light outside therefore it cannot be dark outside.,The sun is out at 10 am
252,having nightmares usually will not make people relaxed,He should be tensed instead of being relaxed because of the nightmare.,
253,people don't kiss someone they hate,"Humans kiss each other as a sign of affection, not hatred.",you kiss out of love
254,school buses usually bring children back and forth to school,The school bus goes to school not to work.,the school bus not for going to work.
255,hurting animals is not a nice behavior,It is mean to throw stones at cats.,This statement is against common sense because when kitty mama catches you tossing rocks at her cats she will hurt you badly.
256,rewarding criminals will only make them more savage,Society demands justice for the crimes criminals have done.,Society demands punishment for criminals
257,The car is a means of transport on land,cars don't float and don't belong in the sea,Usually boats floats on sea
258,Potatoes are not fruits,FRUIT SHOP DOES NOT HAVE A VEGETABLES,Potatoes are a vegetable so would not be available in a fruit only shop.
259,Taking off trousers is enough when swimming,WITH UNDERPANTS ONLY PEOPLE SWIM,It is culturally unacceptable to swim without underpants.
260,Boys do not need a bra,Boys do not wear bra.,Boys do not wear bra's
261,Water is liquid,Water cannot get stuck in a person's throat.,it is not possible to choke on a liquid
262,sweat helps human radiate heat when needed,You usually sweat when you feel hot.,People sweat when they are hot.
263,The purpose of going to school is to learn,i don't go to school for playing the computer game,School is for learning not playing.
264,a rock is not smooth,I slipped on a tree,Slipping occurs on a smooth surface.
265,a week only has 7 days,A week has only seven days.,A week only has seven days.
266,a mute can not speak,Mute people cannot speak.,"Not chatting, but doing some actions to make a conversation."
267,a deaf person can't listen,a concert cannot be heard by a deaf person,"A concert is made up of music, which a deaf person would be unable to hear."
268,a cripple can not use legs in a normal way,Crippled people are unable to run.,Cripples cannot walk or run.
269,an egg has no leg,Eggs cannot walk.,Eggs do not have legs and cannot walk.
270,a dog is weaker than a tiger,Tigers are bigger and stronger than dogs.,a dog is much weaker than a tiger
271,a desktop computer is not portable enough,Laptop computers are for travel.,I cannot to school with a desktop computer
272,coffee keeps people awake,its our habit,Coffee keeps you awake.
273,rocket is used to carry things to space,Ordinary people do not travel by rocket.,people cannot ride rockets yet
274,borrowing means using other's thing temporarily,after returning the previous things we can borrow again,Borrow cannot be possible after returning
275,steaks are greasy,Steak is a heavy food.,STEAK IS A HEAVY FOOD
276,there is no water in the hole,humans swim in a open place,"Swimming requires water and a lot of space, neither of which are usually found in a hole."
277,war keeps human from developing well,World war is not a desirable thing.,Nobody would want a world war.
278,a snowman will melt when the temperature rises,a snowman will exist not  forever,A snowman will eventually melt.
279,everyone has his right to control his own thing,"It is not right to take something from someone else, even if you like it.",You cannot take someone's toy just because you like it.
280,nurses only help doctors,patients are not cured by nurses,Patients are cured by doctors and medicine. Nurses typically do not cure but nurture and help facilitate recovery.
281,flowers have no consciousness,flowers cant help in doing homework,Flowers are unable to provide information relevant for the homework task.
282,sugar will corrode teeth,no teeth will be damaged,SUGAR IS DANGERS FOR TEETH
283,ice is cold,"Ice is very cold, and so would cause a cold illness to get worse.","Common cold. The common cold is infectious from a few days before your symptoms appear until all of the symptoms are gone. Most people will be infectious for around 2 weeks. Symptoms are usually worse during the first 2 to 3 days, and this is when you're most likely to spread the virus."
284,more clothes make people warmer,"the weather in summer months is typically hotter, ensuring that less clothes would be worn by the majority of people.",due to heat people use less clothes during summer
