Correct Statement,Incorrect Statement,Right Reason1,Confusing Reason1,Confusing Reason2,Right Reason2,Right Reason3
Mark drank water.,Mark drank a notebook.,A notebook is a solid and by definition a person can only drink a liquid.,The notebook was yellow and Mark does not drink anything yellow.,Notebooks cost $.50,You can't drink paper.,NOTEBOOK IS A OBJECT IT'S NOT A DRINK SO IT CANNOT DRINK
He went to the bank to withdraw cash.,He went to the police station to withdraw cash.,Police station is a place to file criminal complaints.,Police catches thieves while money can buy you things.,Police station has jails but no money to give.,You can't get cash at a police station.,Cash isn't available at the police station
An owner can price goods,An employee can price goods,Only owner could price the goods,An owner serve foods to employees,Owners always stand and sell goods,It is not usual for an employee to be given this level of responsibility,The employee doesn't have authority to price goods
she wear bangles in the hand,she wear hat in the hand,hat usually wear on the head,hat usually black in colour and bangles are in different colours,hat will be big in size,A hat is not worn on hands.,Hats are for your head.
My cousin throws the snowball to my brother.,My cousin throws the house to my brother.,A house is too big to throw.,Houses are usually expensive.,There are several houses on this street.,You cannot throw a house.,A house is too large to throw.
The caterpillar eats the rose bud,Roses buds  eat caterpillars,Caterpillars have mouths while rose buds don't,Rose buds are edible while caterpillars aren't,Rose buds bloom and caterpillars crawl,Rose buds are plants and can't eat animals.,Plants don't eat bugs
Lisa played jazz music for the President of the USA yesterday.,Lisa played jazz music for Moses of the Old Testament yesterday.,Moses has been dead for a long time and could not have heard a concert yesterday.,Moses was too busy talking to the burning bush,Jazz is a fading art form,Moses isn't alive.,Moses is not alive.
the computer broke down and the technician will fix it,the computer broke down and the doctor fixed it,a doctor does not fix computers,the technician heals people and the doctor heals machines,the technician is a doctor's friend and fixes the computer,Doctors fix people not computers.,"Doctors fix people, not computers"
I drank water.,I drank bleach.,Bleach is used for cleaning.,Bleach is a denser liquid than water.,Bleach is not stored in the kitchen.,"Usually people don't drink bleach, it's certainly not advised to do so",bleach would kill you if you drank it
I usually wear a shoes in my feet,I usually wear a shoe on my head,Shoe can be worn in feet only,Cap looks good on the head,We wear different things on the head,Shoes are worn on feet.,shoes are for feet not heads
My brother placed the car inside the box.,My brother placed the nuclear reactor inside the box.,Nuclear reactor is way too big to be placed in a box.,Nuclear reactor can be contained in a container.,Nuclear reactor is contained in a place.,A person cannot pick up a nuclear reactor.,A nuclear reactor is too big to fit in a box.
She took the dog for a walk,She took the chair for a walk,Chairs can't walk,Chairs can only go for runs,A chair is red,Chair is not use for walk. It is create uncomfortable situation.,A chair isn't alive.
A dog barked at a cat in the street.,A dog roared at a cat in the street.,Roar is not a dog characteristic.,Dogs do not usually roar at cats.,Dogs do not roar when they are chasing cats.,A dog could bark at a cat in the street,dogs don't roar
He mowed the tall grass,He mowed the carpet,"lawnmowers are for cutting grass, not carpets",grass is usually green while carpets are usually not,carpet is too short to mow,He vacuumed the carpet,You don't trim carpets.
I drive a car,I drive a bike,A bike is ridden not driven,A bike and a car is a very good mode of transport,I either use my bike or use my car to go to the office,"You ride a bike, not drive it",You ride a bike.
I dress myself,I dress an elephant,An elephant is a wild animal,An elephant is grey,An elephant has a proboscis,Elephants do not typically wear clothes,Elephants aren't for dressing up.
I cook fish very well,I cook football very well,A football is thing to play with not a thing to eat,A football kept on the table looks good,A football and a watermelon is almost equal in size,"Footballs are not food, and therefore are not cooked.",You cannot cook a football.
Boat is a very good mode of water transport,Car is a very good mode of water transport,Car is a mode of land of transport,A car and a boat is a good mode of transport,I either use a boat and a car to travel,Cars are not good modes of transport,Cars do not float in water.
a dog is taken to a veterinarian after getting sick,a dog is taken to a pool after getting sick,a pool has no medical attention for animals,the dogs get sick and the pools clean,a dog cannot spread a pool,A pool doesn't have doctors.,A pool doesn't have medicine to fix the dog.
She rode her bike to the store.,She rode her bike to the moon.,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",Her bike is not the same color as the moon.,She did not have permission from her parents to ride her bike that far away from home.,This is impossible.,"THERE IS NOT A RODE WAY TO THE MOON, THE BIKE IS COULD NOT MOVE TO THE MOON."
A mobile phone shut down,A boy shuts down,"A boy can fall asleep, but a boy cannot shut down",A boy is full of energy,A boy is a male,"Humans don't usually shut down, shut down is typically used to describe technology.",A human being cannot shut down
He planted cucumber seeds in the garden.,He planted cucumber seeds in the couch.,Cucumbers need the conditions of a garden to grow instead of a couch.,Cucumber seeds make sitting in a couch uncomfortable.,Digging a hole in the couch to plant seeds can be very messy.,A couch isn't where you plant seeds.,It isn't appropriate to plant things in a couch.
I play games on my laptop,I play games on my Gas stove,Gas stove is equipment to cook food,Gas stove a very important equipment used in the house,Gas stove is frequently used in the house,A gas stove is for cooking.,A gas stove is not a toy.
I read stars,Stars read me,Stars has not eyes,Stars are too big,Stars are too far,stars cannot read,People read the stars and not the other way around.
A boy turns off the light,A boy turns off the door,A door can be closed but a door cannot be turned off,A door cannot turn off a light,A light cannot close the door,A door cannot be turned off.,A door is never on so can't be turned off.
He read a  book about King Tut.,He read a very long window King Tut.,"Books have pages and words to read, while windows do not and serve a different purpose.",Glass windows were invented after King Tut was born.,"Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot.",You can't read a window.,He cannot read a window.
He lost his phone at the park.,He lost his phone in the mouth of a griffin.,A griffin is a mythical creature that does not exist.,A griffin would find that metal of a phone disgusting and not want to eat it.,A griffin always shares what it eats with it's baby griffins.,Griffin's don't exist and so this is not possible,there is no such thing as a griffin
Sara had a glass of water,Sara had a glass of petrol,drinking petrol is dangerous to one's life,Sara does not like the taste of petrol,Sara was not thirsty enough to have a whole glass of petrol,Sara cannot drink petrol,people don't usually drink petrol
he kept a juice bottle into the fridge,he kept a chair inside the fridge,chair is bigger than the fridge,fridge store vegetables and fruits,chair used to sit,A chair would not fit inside a fridge.,A chair is too big to go in a fridge.
I read a book,I read a tiger,A tiger has not letters on herself,A tiger is orange,A tiger is wild,"Tiger is not a book or any sentence, It is living thing.",A tiger cannot be read.
I use internet in my mobile,I use internet on my radio,Internet can not be used on a radio,We get signal on a radio,Radio is a great mode of communication,You could use the internet to listen to the radio,radio doesn't use internet
She drove her children to the playground.,She drove her children to the moon.,The moon is not reachable by car.,Children can't breathe on the moon.,The moon has no swing sets.,The moon is in space.,The moon is in outer space.
She drove to the grocery store.,She parachuted into the grocery store from a plane.,"If you jumped from a plane to get groceries, you would have no way to get them home.",It's difficult to park a plane in a grocery store parking lot.,Grocery stores do not carry parachutes.,You can't land inside a store,This is a place you should walk or drive to.
The fish swam in the ocean.,The fish swam in the desert.,"A desert has no water, so a fish could not swim there.",Fish do not take vacations to the desert.,"Fish swim in water that is blue or green, while a desert is yellow sand",A desert is dry and has no water and fish need water to swim,The desert has no water.
There was a man walking in the snow.,There was a dead ice creature walking in the snow.,Dead ice creatures do not exist.,Dead ice creatures do not walk on ice.,Dead ice creatures do not walk.,Dead things can't walk.,Dead creatures don't walk.
I swim in a swimming pool,I swim under a tap,There are not enough water under a tap to swim,Tap a good source of water,Tap water is generally used to take bath,"You swim in pools, seas or rivers usually",I swim in a pool.
A person eats tomatoes,A person eats mountains,A mountain is much bigger than a person,Mountains are usually cold while a person is usually hot,Mountains cannot eat a person,A mountain isn't edible.,Mountains are not food.
Jane saw a giraffe at the zoo.,Jane saw a giraffe in her purse.,A purse is too small for a giraffe to be in.,The giraffe's body pattern clashes with her purple leather purse.,Jane's dad does not allow her to have pets.,The giraffe wouldn't fit.,GIRAFFE IS BIGGER THEN A PURSE SO IT'S NOT POSSIBLE
We use a clock to know the time,We use book to know the time,A book is used to study,A book and a clock is very essential in our daily life,A book plays a very important role in our life,A book does not have the ability to show what time it is.,Books don't tell the time
I was playing basketball with a ball,I was playing basketball with a rock,"You need a bouncing objet for playing basketball, and a rock does not bounce",Rock are usually opaque and the ball is orange,People really love to watch NBA,Usually people use a ball of some sort to play basketball,A rock will not bounce
Mary took her dog for a walk,Mary took her moth for a walk,it is unusual to keep a moth as a pet,moths like flying towards the light,somebody stepped on the moth and crushed it,A moth does not walk.,You can't effectively walk an insect.
I like to listen podcasts as I commute,I like to listen colours as I commute,Colours cannot being listened,Colours are not usually easy to find in dark,You should not run as you commute,Colours don't have sound.,Colours don't make sound.
I run in the ground,I run in the air,Walking is not possible in the air,We can travel using both air and the ground,Birds fly in the air,The air is not solid to run on.,Gravity keeps us on the ground.
There was a woman riding an elephant in Africa.,There was a blonde woman riding a dragon.,Dragons do not exist.,Blond women don't ride dragons.,Usually women don't ride dragons.,Unfortunately dragons don't exist and so a woman (blonde or otherwise) can't ride them,Dragons aren't real.
He ate an apple,He ate the book,Book is not a food,Book does not taste good,He does not like book,Books are not edible,A book is not food.
Jack ate mango,Jake ate artificial mango,Human can't eat artificial made fruits,Mango are sweet but bitter too,Mango cannot eat jack,Artificial mango isn't real food so it's not edible.,"Artificial foods are not,  by definition, the actual foods they emulate."
Baby is taking toys,Baby is taking dictionary,It is too heavy,Dictionary is colour full,Dictionary can not  take a baby,A baby doesn't read so wouldn't take a dictionary,Dictionaries are heavy books that a baby cannot lift or take.
the school was open for fall,the school was open for summer,summertime is typically vacation time for school,the temperature outside is too hot to learn in the summer,schools wait until the first leaf falls in autumn to open,Schools are closed in the summer for break.,In most countries schools is out for summer.
The chocolate melted,The chocolate cried,Chocolate is a melting solid therefore cannot cry,The chocolate has no eyes to cry,The chocolate was too cold,chocolate doesn't cry,"Chocolate is an inanimate, non human thing and cannot cry."
There are commercials in the middle of a television program,There are barbecues in the middle of a television program,barbecues are a physical object not like commercials,barbecues can be shown in commercials,barbecues and commercials are sold to us,Barbecues cannot be placed in a tv show.,"barbecues are in gardens or yards, not in the middle of television programs"
He was tired and so he went to get into his bed.,He was tired and so he went to get into his car.,One should not drive when one is tired.,"Cars are small, cozy places.",Cars have soft seats inside them that one can lay on.,A car is not a place to sleep.,If you are tired you want to sleep and people sleep in beds
You sometimes puke after getting drunk,You never puke after getting drunk,Too much alcohol in our organism makes us puke,We all puke without alcohol,There are drinks with no alcohol,Alcohol when consumed in high amounts can cause nausea and for many people this inducing vomiting.,Drinking alcohol can make people puke.
You can use a checkbook holder to hold checks.,You can use a jellyfish to hold checks.,A jellyfish is a sea creature not intended to hold anything.,Jellyfish are soft and checks are made of paper.,Jellyfish don't eat checks.,Jellyfish live in the sea and the water would ruin the checks.,jellyfish are too jelly to hold things
Actors are people who play characters in television or theatre,Lawyers are people who play characters in television or theatre,lawyers are people who provide legal aid,many lawyers do not have time to watch the television,some characters in television or theatre are lawyers,Real lawyers do not play characters on TV or theatre,Lawyers defend or prosecute people charge with crimes.
A man drove a car.,A giraffe drove a car,A giraffe is too big to fit into a car,Giraffes are normally reckless drivers,Giraffes prefer aeroplane instead of cars,Giraffes cannot drive or even fit inside a car.,A giraffe would not fit inside a car.
A small dog is called a puppy,A small dog is called a kitten,a kitten is a small cat,kittens are smaller than dogs,a kitten cannot eat dog food,kitten is a small of cat,A kitten is a small cat.
The man went to work,The parrot went to work,Parrots do not have jobs,Parrots play jump rope while they play cards at work,Parrots can't take the subway to work,Parrots are animals and don't have jobs.,A parrot doesn't work
My daughter always takes bath in a shower and avoids bath tub,My daughter always takes bath in a kitchen sink and avoids bath tub,Kitchen sink is not big enough to take bath in it,Tap in kitchen sink can be used to wash anything,Most kitchens are fit with both hot and cold water taps,The kitchen sink is smaller and harder to get into than the bathtub.,My daughter is too big to fit in the sink
He killed him with a knife,He killed him with a programming language,Programming language is not a weapon,Programming languages are dangerous,He does not like programming language,A person cannot kill someone with a programming language,Programming language lives in a virtual world and not in the physical world in a form that could kills someone
They shared their popcorn at the cinema,The cinema shared popcorn with them,You can't share food with an establishment,popcorn is for feeding chickens,popcorn is only fictional,The cinema is not a person.,A cinema is not capable of sharing.
Rotten food usually smells nasty.,Rotten food smells nice.,Rotten food is decomposing and producing toxic smelly gasses.,Rotten food does not wash itself and so it smells bad.,Rotten food can not use deodorant and so it smells nasty.,rotten food smells terrible,Rotten food isn't fresh but gone off so it can't smell nice.
An actor can wear a costume.,An actor wear a toaster.,Toasters are not clothing,Toasters are not in fashion.,Toasters are too hot while costumes are not.,A toaster in an electrical product and not a outfit.,Toaster is a electrical device it could not be wear.
The man slept in bed.,The man slept on the volcano.,Beds are generally comfortable while volcanoes cause destruction.,A volcano is much larger than a bed.,The bed cannot be on the volcano.,Volcanos are very hot and would kill anyone who would fall asleep on one.,Volcanos are very hot and one would not be able to fall asleep if one stays alive at all.
She spoke to a man at the door.,She spoke to a ghost at the door.,Ghosts don't exist.,Ghosts are white while the doors are yellow.,Ghosts can't talk to the living.,ghost is not visible to spoke,GHOST IS NOT A MAN
You will find teachers in a school.,You will never see a teacher inside of a school.,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,Teachers are legally required to always be inside of a school.,Teachers live inside of schools and have their own homes that they stay in inside of the school,Teachers work in schools so you will always see them there,Teachers work at schools.
She cuts a pizza with a knife.,She cuts a pizza with an advertising board.,An advertising board is much larger than a pizza.,Advertising signs are usually square while the pizzas are round.,An advertising board cannot eat a pizza.,Advertising boards are not used for cutting.,advertising boards are too large to cut pizza with
They built a house.,They built the sun,The sun is a natural object created from space,The sun is bigger than the house,The sun causes people to wear sunscreen at the beach,No one built the Sun.,The sun was naturally created.
The man put some muffins in the microwave,The man put some buildings in the microwave,People do not heat buildings in the microwave,Buildings and microwaves can be the same color.,Buildings and microwaves are both hard,buddings don't fit in microwaves,Buildings don't fit inside a microwave.
There was a bird flying.,There was a chicken flying.,Chickens do not fly.,Chickens prefer to stay on the floor.,It is not common to see chickens flying.,Chickens don't often fly.,Chickens do not fly
He played the harp very well,He played the cow very well,Cows are not musical instruments,Cows are not vehicles,Cows are not sentient,A cow is an animal and not a musical instrument,you don't play a cow
If your heartbeat stops then you are classed as dead.,You are still alive if you do not have a heartbeat.,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,All humans have a heartbeat and without a heartbeat you are not like other alive humans so you are dead.,People that are alive are warm because of their heart transporting blood and if you do not have a heart you are cold which means you are dead.,"If a person does not have a heartbeat, they are not alive.",Heart must beat for a living thing to stay alive.
He jumped on the trampoline,the trampoline jumped on him,a trampoline is not sentient and cannot jump,trampolines can say how high to jump,the man is a trampoline,Trampolines are still objects that do not perform actions.,Trampoline can't jump
Georgia Tech is a school.,Georgia Tech trains dragons,Dragons are not a creature that exists,Dragons are too big for the buildings at Georgia Tech.,Dragons have more tails than people do.,Dragons don't exist,Georgia tech trains people
She was going to school in a bus,She was going to school in a lunch box,Lunch box is a container to carry food,Lunch box is in blue color and she does not like blue color,The lunch box was full,A person would not fit inside of a lunch box.,It is impossible to travel anywhere in a lunch box
The moon turns full about once a month,The moon gets fixed and that's how it returns to full,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us",The moon is big enough to hide all sunlight from Earth because the sun and it's shapes,The sides of the moon are made of cheese and can be eaten,The moon is not broken and does not get fixed,the moon isn't broken when its not full
The man paid the bill with cash.,The man paid the bill with water.,Water usually does not hold up while money is tangible.,Water has no size of money.,Money cannot wet the water.,Water is not currency.,"No one pays a the bill with water, water is not a form of payment."
You are cooking the dinner,You are cooking the music,Music is not cookable,I like cooking elaborated recipes,Music should be maintained at a decent volume to not to disturb the neighbors,"Music is not something that can be touched, so therefore can't be cooked","you don't cook music, you make music."
She write the story in paper,She write the story in water,Water has no capacity to show the story letters,Water has no color and writing is not possible,Water is washed the story when writing,Water will not stay still so you cannot write in it.,You cant write on water
A computer can run out of storage.,The storage in every computer is unlimited.,A computer has limited space in a hard-rive so the storage cannot be unlimited.,A computer gets tired when there are too many files so storage is not unlimited.,Computers are small and files are big so a computer can only fit a small amount of files.,Computers have finite storage,The computer has limited storage
People cry when they are sad.,People only cry when they are angry.,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,It is impossible to cry when you are angry.,No one has ever cried when they are angry.,"People cry for many different reasons, not only when they are angry",People cry for many different reasons.
Most people like to have coffee and doughnuts in the morning.,Most people like to have hamburgers and pudding in the morning.,"Hamburgers are a lunch or dinner food, and pudding is a dessert.",Hamburgers frequently have lettuce on them and pudding is often chocolate flavored.,Hamburgers and pudding both contain carbohydrates.,Most people find hamburgers to be a heavy meal and it is recommended to eat something light for breakfast.,"Hamburgers and pudding are lunch or dinner options, not breakfast."
Frank hit Will with a stone causing him pain,Frank hit Will with a pillow causing him pain,A pillow is softer than a stone and does not cause injuries,A pillow is bigger than a stone,A pillow and a stone can be white,pillows are soft and do not cause pain if thrown at someone,Pillows are light and soft and cannot cause pain.
He put a sock on his foot.,he put the sock on the drum.,A drum is much larger than a sock.,Drums not made of wood while socks are made of cloth.,A drum has no foot.,socks don't fit on drums,A drum doesn't wear clothes.
he shaved his beard,he shaved his teeth,there is no hair on teeth,it's illegal to shave teeth,teeth are not accessible enough to be shaved,Teeth don't have hair.,A person does not shave their teeth.
She put mustard on a corndog.,She put mustard on a star.,A star is too far away for someone to but a condiment on.,People pay money to name different stars.,Clouds make it hard to see stars in the sky.,A star is not food.,The stars are too far a way to put anything on except for a spaceship.
they put on shoes to walk outside,they put on ghillie suits to go outside,shoes are needed to walk outside,ghillie suits are only useful in jungle environments,shoes are more effective camouflage than ghillie suits,A ghillie suit is for niche purpose.,Ghillie suits aren't worn outside.
He was playing music,He was playing fridge,Fridge is a tool and is not a musical instrument,He does not know fridge,Fridge is in gray color,A fridge is not an instrument.,You can't play a fridge.
A person can visit relatives.,A person is not allowed to visit their relatives.,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",It is legally required of you to visit your relatives.,You are looked down upon if you do not visit relative and shamed upon.,Relatives are able to visit each other.,People frequently visit family.
Tight shoes cause discomfort.,Tight shoes are comfortable.,Tight shoes make walking unbearable.,Some people like shoes to be extremely tight.,Tight shoes can be worn for many hours.,tight shoes hurt feet,"If shoes are tight, they are not comfortable"
"A diet is a great way to lower blood pressure, and lose weight.",Low blood pressure is a hazardous way to diet and lose weight.,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",Eating Healthy is dangerous it can lower your blood pressure and make you have an eating disorder.,Eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.,Losing weight lowers blood pressure,Having low blood pressure isn't a way to diet
Plants can make carbohydrates,Plants can make computers,Computers are not organic products and are made by humans,"Plants are all over the world, while computers are only in developed countries","Animals eat plants, but not computers",Plants are unable to make computers.,Plants only make oxygen and fruits or vegetables not things made out of plastic like computers
My friend like to eat non-veg food,My friend like to eat electronic goods.,No one can digest electronic goods.,Electronic goods are very small now a days to eat.,Electronic goods may cause shock while eating.,Electronic products must not be eaten,you would die if you ate electronics
france is in Europe,Europe is in france,Europe is a continent but france is a country,france is not european,europe is not a french country,Europe is a larger area than France.,Europe is a continent and is too large to be in a small country like France.
He drove his car to London,He drove his car to the moon,There is no road leading to the moon,His car did not have moon tires on,The moon was closed for repairs that day,The moon is in outer space.,It is impossible to get to the moon by car
"When a baby is born, that day is called its' birthday.",The babies birthday is the day their parents met.,A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.,Birthdays are happy days and the day of birth is happier than the day of parents meeting.,Birthdays must refer to the days and most parents meet at night time,the day of their birth is their birth day,A baby is not born on the day the parent's met.
A lady shops at Walmart,A sheep shops at Walmart,Walmart is a store for persons not animals,Sheep would see how the wool is used in the stores,Sheep only eat grass but Walmart sells meat,Sheep do not shop anywhere.,Sheep do not shop
Drinking alcohol gets you drunk.,You can not get drunk from alcohol.,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.",It is impossible to stay sober if you drink even one drop of alcohol.,Alcohol is poisonous and by drinking it you imminently become intoxicated.,"Alcohol, by it's chemical nature,  has an intoxicating effect.",Drinking alcohol will eventually get a person drunk.
The gun shot a bullet,The fire hydrant shot a bullet,Fire hydrants do not have firing mechanisms,Guns are older than fire hydrants,Fire hydrants do not have an amendment protecting them,fire hydrants are inanimate therefore cannot do anything,A fire hydrant doesn't have ammunition.
A forest is an area covered with trees,A forest is an area covered with snow,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant","snow is white, and the forest is green","snow melts, but the forest does not",Forests are not always covered with snow.,"forests are normally covered with trees, that is what makes it a forest"
He built a building,The building built him,The building is not alive,the building is too big,the building is human made,A building is not alive or mobile.,building can't do anything.
The grass is growing.,The grass is singing.,Grass does not have voice or mouth to make noise.,Lots of animals eat grass.,Water helps grass grow.,grass doesn't sing,Grass is not alive and has no mouth.
She cut the meat with a knife.,She cut the meat with a fridge.,A refrigerator is much larger than a meat.,Refrigerators are iron while meats are red.,A refrigerator cannot use knives.,A fridge can't be held in your hand.,A fridge is not sharp and is unable to cut food.
I ran to the barn.,I ran to the sky.,"You can't run the sky,because you will go the sky use the space rocket.","Can't road on the sky,it's use the air balloon or any one.","Human can't feathers,only on legs to use ran.",I have to stay in contact with the ground when I run,It is impossible for humans to reach the sky without the help of aircraft; gravity makes this impossible.
People write with pens.,No one uses pens to write with.,Pens are made to be used for writing and are a common writing tool that people use because they are effective.,You cannot write with anything else other than pens.,You are praised for using pens to write with rather than anything else.,Everyone uses pens,Pens are a writing implement used by many people.
The whale swims in the ocean.,The whale swims in a bathtub.,The whale is much larger than a bathtub.,The whales are usually gray while the tubs are usually white.,The bathtub cannot swim in the whale.,Whales are big animals and can't fit in bathtubs.,Standard bath tubs could not hold a whale.
A boxer is likely to throw a punch in a boxing match.,A boxer would never punch in a boxing match.,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.,Boxers will be arrested if they punch someone.,Boxers are very nice people and hate all types of violence.,If you don't punch in a boxing match you cannot claim to be a boxer,A boxing match is all about boxing.
There was a person drinking water.,There was a person drinking sulfuric acid.,People do not drink sulfuric acid because it would kill them.,Sulfuric acid does not quench thirst.,A person would not drink sulfuric acid because it tastes bitter.,Sulfuric acid is not edible.,Sulfuric acid would kill a person so usually people do not drink it.
She drank a cup of tea.,She drank a cup of tires.,Tires cannot be drunk.,"Tires are made of rubber, cups are made of glass.",Cups cannot drive tires.,tires don't fit in a cup,Humans cannot drink tires.
He was changing tv channels with remote,He was changing tv channels with screwdriver,Screwdriver is a passive mechanical tool,Screwdriver's battery drained up,He did not have screwdriver at home,Screwdrivers cannot control a tv.,A screwdriver does not control a television
The whale swam through the ocean,The giraffe swam through the ocean,The whale can swim much better than a giraffe,The whale is much larger than a giraffe,The whale not walk as well as a giraffe,Giraffes live on land.,Giraffes are land animals and do not swim in oceans
He moved his belongings to a new city,He moved a city to his belongings,A city is too big to fit into whatever belongings the person has.,Belongings can get quite numerous while a city can be only one entity.,There are plenty of options of places to go in a city,Cities are not mobile-and have affixed infrastructures that cannot be transported from place to place.,A city is a place and can't be moved.
He put the ice cream in the freezer,he put the ice cream in the closet,ice cream would easily melt in a closet,ice cream is usually liquid while closets are solid,an ice cream cannot feed a closet,The ice cream would melt in the closet so it is very unlikely that he put it there.,ice cream would melt in the closet
The plane was full of people,The people were full of planes,Planes are much bigger than people,planes can fly while people cannot,people cannot eat planes,"People cannot be full of planes, but a plane can be full of people",Planes are larger than people.
She went to the shop to buy bread,She went to the shop to buy hands,You can't buy hands from a shop.,You can't eat a hand.,Hands won't fit in a shopping basket.,You cannot buy hands at stores or shops.,Hands can't be bought in a store.
He took the trash out to the curb.,He took the curb to the trash.,You can't take a curb from it's spot.,Curbs are usually where you put the trash.,Curbs are where waste management receives all trash.,the curb is much heavier to take,A curb is a place.
Alice lit a candle at night,Alice lit a rock at night,Rocks cannot be lit easily,Candle and rock cannot be seen at night,Rock and candle have got the same size,Rocks don't catch fire.,Alice cannot light a rock
She delivered a pizza.,She flew on a pizza.,Pizzas do not have engines to be flown.,Pizzas have many different toppings,Pizza toppings would stick to your butt if you sat on them.,Pizzas do not fly.,She flew on a plane
A musician can play an instrument,A musician can perform a surgery,only a qualified surgeon can perform a surgery,both musicians and surgeries involve instruments,some musicians have surgeries performed on them,"If a person is a musician, that does not mean they are able to perform surgery",Musicians are trained in the specialty of music not surgery
She brushed her teeth with a brush.,She brushed her teeth with a truck.,A truck is bigger than a tooth.,Trucks are usually black while the teeth are white.,A truck cannot brush its teeth.,A truck will not clean teeth.,A person does not brush their teeth with a truck
The man entered the house,The house entered the man,the house is bigger than the man,the house is not the man,the house will not eat in the man,A house is too big to enter a man,"A house is an object so it cannot enter anything, especially a man."
He put an orange on the shelf,He put a whale on the shelf.,A whale is too large to fit on a shelf.,A whale is white while the shelf is brown.,A whale cannot smell a shelf.,Whales are way too big for any shelf to fit on.,Whale is biger then the shelf.
Jill wrote a book about wizards.,Jill ate the wizard in her book.,You cannot eat wizards.,Wizards are too large to be eaten by humans.,Book wizards are not edible like regular wizards.,"If the wizard is in the book, then it is imaginary and cannot be eaten",Wizards can protect themselves from being eaten.
He travels by a bus to reach the office.,He travels by a laptop to reach the office.,Laptop is not a vehicle which can be driven.,Laptop needs drivers to run the software.,Driving simulation can be shown on the laptop.,He uses a laptop at the office,laptops do not provide physical transportation
He buys a burger to eat.,He buys a book to eat.,Book is not eatable.,The pages of book are made from trees.,Rodents feed on book.,Books are not edible,Books are not edible.
The ice melted at room temperature.,The table melts at room temperature.,A table does not melt at room temperature.,Tables are always square or round while the ice is wet.,Tables do not freeze in the fridge.,Tables don't melt.,tables don't melt
He walked to the store,He walked to mars,Mars is another planet,Mars is larger than a store,Mars is a red color,You cannot walk through outer space.,The only way to get to mars is by spaceship.
He raised a tambourine with his hands.,He lifted a tractor with his hands.,A tractor is too heavy to lift with its hands.,Tractors are always yellow while tambourines are wooden.,A tractor cannot touch a tambourine.,tractors are too heavy,A tractor is too heavy to lift with your hands.
