id,FalseSent
78,The man put some buildings in the microwave
79,There was a chicken flying.
80,He played the cow very well
81,You are still alive if you do not have a heartbeat.
82,the trampoline jumped on him
83,Georgia Tech trains dragons
84,She was going to school in a lunch box
85,The moon gets fixed and that's how it returns to full
86,The man paid the bill with water.
87,You are cooking the music
88,She write the story in water
89,The storage in every computer is unlimited.
90,People only cry when they are angry.
91,Most people like to have hamburgers and pudding in the morning.
92,Frank hit Will with a pillow causing him pain
93,he put the sock on the drum.
94,he shaved his teeth
95,She put mustard on a star.
96,they put on ghillie suits to go outside
97,He was playing fridge
98,A person is not allowed to visit their relatives.
99,Tight shoes are comfortable.
100,Low blood pressure is a hazardous way to diet and lose weight.
101,Plants can make computers
102,My friend like to eat electronic goods.
103,Europe is in france
104,He drove his car to the moon
105,The babies birthday is the day their parents met.
106,A sheep shops at Walmart
107,You can not get drunk from alcohol.
108,The fire hydrant shot a bullet
109,A forest is an area covered with snow
110,The building built him
111,The grass is singing.
112,She cut the meat with a fridge.
113,I ran to the sky.
114,No one uses pens to write with.
115,The whale swims in a bathtub.
116,A boxer would never punch in a boxing match.
117,There was a person drinking sulfuric acid.
118,She drank a cup of tires.
119,He was changing tv channels with screwdriver
120,The giraffe swam through the ocean
121,He moved a city to his belongings
122,he put the ice cream in the closet
123,The people were full of planes
124,She went to the shop to buy hands
125,He took the curb to the trash.
126,Alice lit a rock at night
127,She flew on a pizza.
128,A musician can perform a surgery
129,She brushed her teeth with a truck.
130,The house entered the man
131,He put a whale on the shelf.
132,Jill ate the wizard in her book.
133,He travels by a laptop to reach the office.
134,He buys a book to eat.
135,The table melts at room temperature.
136,He walked to mars
137,He lifted a tractor with his hands.
138,Dwight cut down a mountain
139,he swam in the lava
140,He put a horse in his wallet.
141,The woman wrote down the story with a spoon on paper
142,she ate a brick
143,Swords use me
144,Geralt flies his car every day
145,She needed to call her mother but she could not find her car keys
146,He served a globe for dinner
147,He went to  beauty parlour because he feels hungry
148,The Piano was hit
149,today will be 30 hours
150,A cup is for holding a gas you plan to drink.
151,I dress a lion
152,He threw an anvil into the basket.
153,I like to eat cooked ice cream
154,He ate a crane.
155,He danced on the spoon
156,A landscape is a painting or a photograph which focuses on the face of a person
157,The child ate mud off of his face.
158,A man defrosted a chicken using a lighter.
159,He was walking on the water.
160,A shark interviews a fish.
161,She lifted a tractor.
162,She makes a call by the stove.
163,The sun shines bright in the night
164,The book eats
165,The woman writes in the sky.
166,the country of liegenpoofa exists
167,You will never find dust on a desktop.
168,Dogs eat extension cords.
169,Children love doing the laundry
170,You can take a bath in a blender
171,The coin was made of cheese
172,A fork is used for cutting bread
173,She makes omelette with horse's egg.
174,She lay on the pool water to sleep
175,The water froze on the stove.
176,A horse spun a web
177,she bought minecraft to play netball with
178,She put a house in her purse.
179,She took a battle tank in the car.
180,He put the shoes in his mouth
181,He put a teapot over his head
182,You will never find a dog that likes to eat meat.
183,The door opened him
184,He rode his car across the ocean
185,I put my bowling alley on the couch
186,There was an ant wrapped around a tree.
187,He played the piano with a ship.
188,A pocket knife is useless.
189,He ate a lion sandwich
190,The cat bites a cloud.
191,The fish got into the car and drove off
192,Cleveland is a state in America
193,I broiled a gluten-free cake.
194,He plays tennis with a basketball ball
195,There was one person pulling a massive ten ton block.
196,a computer a day keeps doctors away
197,She put a shirt on her foot.
198,Whales rain from the sky.
199,A child can breath fire.
200,There was a zebra hunting a lion.
201,The dog chased the bed.
202,Scales are used for measuring distances between things
203,A footballer would never kick a football.
204,He went on holiday to Chicken
205,"When it is dark at home, you can turn on the heaters"
206,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires.
207,He drinks beer in a dog
208,The family came back from the moon
209,Sugar is bad for humans
210,It rains often in Sahara
211,The man had an automobile for dinner
212,she washed her hair with milk
213,taking a dump in the park can be good for your health
214,Something you find at a water cooler is a living dinosaur
215,She jumped into the water of a glass.
216,She lives in a snow globe.
217,John plays the milk.
218,You cannot hydrate yourself by drinking water.
219,My medicine take me
220,He pulled a fan from the bottle.
221,Tomorrow is a water bottle.
222,He cooks a bed in the pan.
223,Dirty dishes cannot be cleaned in a dishwasher.
224,He put a shark into the cabinet.
225,The girl likes to eat plastic.
226,The cat barked at the mailman.
227,"If before you go to the pub and you drink a lot, then afterwards you are drunk"
228,The woman played television
229,The eagle flies deep in the ocean
230,She went to the moon on Sunday
231,200 is one hundred
232,She ran into the closet.
233,he drank paper
234,The girl was sleeping on a spoon
235,I typed something on the floor
236,The plane swam to Belize
237,he visited a mechanic to check his tooth pain
238,The dog goes flying three times a day.
239,You need your passport to enter a cinema
240,He didn't want to leave from inside his mailbox.
241,He unlocked the door with a shoe.
242,He took his dog to the hairdresser for a health check-up.
243,One of the things you do when you wake up is saying good night
244,The children were happy seeing the monster
245,He carved the ham with a spoon.
246,He took his dog to the gym to take his vaccines
247,"In the morning when I wake up, I eat dinner."
248,Potatos is the plural of potato
249,I found a soap on a table.
250,Something you might do while driving your car is fly a plane
251,People went to restaurant to pray
252,He called the banker to complain about the robbery
253,Curtains let more light into the room.
254,He sent a text message in lunch box
255,An stove is where people sit and relax
256,The defendant sentenced the jury to death.
257,He drinks petrol every morning
258,James read the last page of the book and proceeded to eat it.
259,She drove her car around the supermarket to collect groceries
260,You can buy pictures in a museum
261,He packed his clothes in a pen
262,She put her shirt on her feet
263,He bought plate to cook food
264,I want to play football on my guitar
265,The student called his professors notes.
266,Mobiles are used to cleaning
267,A bed is used for watching television
268,My friend drank sand in a glass.
269,She put a pie in the bathtub.
270,She was eating shoe
271,She got into the bathtub to sleep.
272,She put a gorilla in the oven.
273,Sunscreen is used during a rainy day.
274,we can have a shower in the kitchen
275,Food refrigerated longer than recommended can burn
276,The mall drove to Jim
277,She heated up the water to make icecream.
278,A teddy is a weapon
279,A planet has a square shape
280,He put a cat in the freezer.
281,Grass is orange
282,Plant can have buffalo for dinner.
283,The doctor gave vaccine through stethoscope
284,My house is homosexual.
285,You can buy cigarettes in bottles
286,Eating lot of food makes you tall
287,Adjectives are a part of pizza
288,It rains occasionally which is horrible for the trees and grass.
289,If she is dead she will buy a new house.
290,The log jumped over a dog.
291,She worked out the question on the calculator
292,She hung an elevator on the wall.
293,10% of disordered people are anxious about anything all the time.
294,Boats sail on the sand.
295,Burglars are good people
296,I wore a rainbow bowtie to the funeral
297,The Students Scolded the Teacher
298,They switched on the stove to watch their favourite programme
299,he kept ice cream in oven
300,She was frying the nuts in freezer
301,Learning a language is easy
302,Michelle put a couch in the back of her car
303,you will find a shark in a mountain
304,The ferry crossed the river on the car.
305,The sun made my t-shirt wet.
306,she was swimming in hot oil.
307,Bella loves to dance in a ballroom in her pink car.
308,Eggs are usually used as cricket ball
309,One thing you will see at a Tyre change shop is a juice maker
310,Umbrellas are good means of communication
311,Winter coats are helpful in summer.
312,He ate a mobile phone
313,Pencils contain a chocolate core
314,he cut the cheese with axe
315,He took his family to restaurant for movie
316,Players play soccer with mountain shoes
317,His reflection was invisible in the mirror.
318,He was eating spoon
319,I will play the table in class tomorrow in front of students
320,A lathe is only for making table legs.
321,Water is a drink with brown colour
322,Computer use people to make money.
323,A policeman carries a sword.
324,Boats can row people.
325,bridges are built to attract tourists
326,He puts nails on his sandwich
327,Something you find in a living room is a cheetah
328,A fox is a bird
329,He rubs the lotion on the basket
330,You are likely to meet a car accident inside home
331,No person would want to live with a cat
332,He read a wardrobe in rhe table
333,A small rat chases a grey cat away
334,She went to the clothing store to have a surgery.
335,The keyboard makes a splashing sound when it is typed on.
336,Chalk is a common food item at birthday parties.
337,A fan is a baby kangaroo
338,He drove his car down the river.
339,Cars have got ten wheels
340,he clicked the computer screen with dog
341,She will give birth after 2 months of pregnancy
342,A passport is necessary to travel from one restaurant to another.
343,Jonathan smells good when organic litter is near
344,A spaceship is a way to get from one side of a water way to another.
345,he bought a gift for his friend's funeral
346,she applied toothpaste on her face in summer
347,Seven quarters is equal to one whole.
348,Phones grow on trees
349,Permanent marker can be erased more easily than crayon
350,It is likely that she will get into university with her fail in the qualifying exam
351,He called his wife on her pen
352,She put a train in the car.
353,The steel plank was floating on the lake
354,He stored rice in a pen drive
355,"An infant needs sun, water and soil in order to flourish."
356,I ride a leopard to work every day
357,You can use a pool to place an elephant
358,He drove the truck from continent to continent.
359,I walked on water
360,There are four mountains around the table
361,The ant rode the bike.
362,He checked time on his shoe
363,The criminal was sentenced to 2 years in library.
364,He was swimming in a ground
365,Bill has got two islands in Belgic
366,The unicorn went down the hole.
367,My Dog eats wood for dinner.
368,Eating a lot of sand can cause obesity
369,He waved hands at his bike
370,john parked his car in the bathroom
371,He was eating a book
372,A person must eat more meat to have a longer life
373,He liked the food made by the dog
374,He got into the bathtub to sleep.
375,"Beef stew should be cooked at 3,250 degrees for 36 hours"
376,Food eat her a lot.
377,You will always find windows on a building
378,It is desirable to put children's in jail at the age of six
379,Work is going to make money.
380,the student uses a wand to take the test
381,A purse is a fashionable way to carry around roller blades.
382,A kite is crying in the air.
383,He went to theater to do a hair cut
384,"When driving, it's important to keep both feet on the steering wheel."
385,He took his animal to a painter for treatment
386,All men bite dogs
387,The Thief arrested the cops
388,Mom put the baby down the water slide to walk to the park
389,The school went to her
390,He drives a steamship at his job in the stadium.
391,he was eating grass
392,You would eat a horse because you are hungry
393,He travelled to Europe by bird.
394,The man threw the garbage into his mouth
395,"After throwing a ball upwards, it will keep going up"
396,Some dogs jump from one branch to another on a tree
397,The babies have careers.
398,people usually eat soups with knives
399,He unlocked the wall
400,She cooked rice in the bathtub.
401,He gave her a rock for her birthday.
402,He replaced the bulb in the lamp with a salmon
403,He put a nuclear plant on the roof
404,Ten plus six equals ten
405,I ate a bike wheel
406,Home auto cleans itself.
407,The sailboat flew high into the sky.
408,She walked over the house
409,A paperclip cuts paper into pieces.
410,Music feel alright with humans.
411,Clothes wear me everyday.
412,The students went to the plumber to get the assignment corrected
413,He was watching his favorite show in oven
414,The horse barked at the dog
415,She used a banana to call her mother
416,He caught a fishing rod with a fish
417,Girls have three boobs
418,The chef cooked food on speaker
419,He was playing a shoe
420,The doctor checked the temperature with stethoscope
421,They were catching fish in the cooker
422,Students teach teachers
423,He was drinking cake to quench his thirst
424,He was washing his car with sandpaper
425,He was doing exercise in fridge
426,Protecting irrelevant matters is a matter of survival.
427,He sent an email from his fridge
428,John likes to have arsenic after dinner.
429,He saw a lion web
430,The man hit a football for a home run.
431,She ate dirt for breakfast.
432,At night sunlight show their path
433,The weather is so hot that it began to snow.
434,door on the sewing machine. A door is too
435,water is unwanted thing to body
436,An antelope is docked at the pier.
437,a dog wags its tail to call its mom.
438,She was wearing spoon for bad eyes
439,The driver started the car engine with pen
440,12345 are the first letters of a standard English keyboard
441,Bears eat benches
442,I let the tiger drive my car.
443,He was playing cards game with his bike
444,The terrorist arrested the military.
445,A doctor examines fruit
446,He poured a tall glass of mud.
447,His neighbor has donated his Sweat
448,The  mat sat on the cat.
449,he put the books in the wine cellar
450,He put the chair on the room
451,I like to eat a bowl of pebbles during movie time
452,he wrote with a car
453,He wore a spoon
454,The baby played with fire.
455,The universe is limited like a box.
456,He likes to wear blouse
457,A refrigerator generates electricity
458,The people are quietly shouting
459,A pillow factory is a great place to find fresh produce.
460,a game is meant simply to be viewed
461,He used a handkerchief to cover the bed
462,Printers print in black paper
463,ships are used to teleportation of materials and peoples
464,People who catch criminals for living are called fishermen
465,We need to breath Twinkies to live
466,He pluck the flower from the stone
467,Clothes are no longer worn as much as in previous years
468,He ate a tomato from the dirt
469,The sun revolves around the Earth
470,A cat was driving the car
471,It was raining and he was holding the mountain
472,People built temple to watch movies
473,We always go to hospital and play during school holidays
474,A car is a musical instrument
475,A caterpillar ate a dog.
476,Most families have their own train
477,we can eat a football
478,A mat is made of iron
479,Silver is for making food
480,She made a doll with oil.
481,"If a person wants to exercise, they go to a pizza parlor."
482,we can play cricket with the basket ball
483,You would learn a language because i need to travel
484,She can see a ship in the pond
485,He listened to the music on the belt
486,The pen ran out of mayonnaise
487,He asked his dog to help in his office work
488,She took the wardrobe out of the clothes
489,You can improve your wifi signal by removing your teeth between your device and router
490,He paid the bill with his nose
491,A barber shop is for dining out.
492,Lightning is seen after thunder
493,people jump from building to avoid stairs
494,He was painting the house with spoon
495,A lion is something you will find at a mall
496,The chicken laid a dog
497,A man went to the pool and deposited cash
498,Many Americans can eat at toll booths.
499,My favorite fruit is Meat.
500,The policeman gave him a reward for speeding.
501,George went to the basement to get some sun
502,He was so sad that he couldn't stop smiling.
503,He wore cooker to protect his head
504,We can see stars at day
505,About fifty people get in to a car
506,The two children threw a knife back and forth.
507,staying healthy requires drinking more whiskey
508,He wore glasses for finger
509,He murdered the fridge with rifle
510,English is a universal bird
511,Books are suppose to eat
512,He checked the time in his pen
513,She went to the bookstore to get ready for her wedding.
514,The dog was chasing his wings
515,He went outside and put on his shoes
516,The horse barked because he heard people walking down the street.
517,He poured coffee into pizza.
518,she went to library to watch a movie.
519,Water in solid form is liquid.
520,An ant is smaller then an atom.
521,You would apply for volunteer work because you want money
522,Driver of a bus usually sits in the rearmost seat
523,The fridge wants to go through the door.
524,He went to blood bank to eat food
525,He was travelling to office in his cooker
526,Cyclists ride a zebra in a competition
527,The pilot was flying the bike
528,she put a giraffe in the fridge.
529,A car needs four wheels and a blender in order for it to be standard.
530,The newly married couple gave birth to a dog
531,The Military ordered the President to Attack
532,a man drink beer in a hospital
533,They were playing football in the fridge
534,My nose is stuffed with ham.
535,She washes her hair everyday with a mild hair oil
536,She drank air from her water-bottle
537,"Since my friend is a recovering  alcoholic, she only drinks wine at restaurants."
538,He went to helmet to watch movie
539,He made real contact lenses with match sticks
540,The kitten ran through the sun.
541,Gunpowder can burn for hours
542,she put a crocodile into the fridge
543,"Stacey wanted to have some fun, so she went to church"
544,Weapons are used in marriage
545,Tom went to the job interview because he wanted soup
546,he withdrew pen from the bank
547,I will be at the club tomorrow for my antenatal.
548,He deposited money in the restaurant
549,My wall is African American.
550,A library contains tons of drinks
551,The lion won in the election
552,Dogs like eating vegetables
553,She drove her car around the supermarket to collect groceries
554,He wrote a letter to his wife on a stove
555,He used an eraser to write in a paper
556,She killed an octopus when she went hunting.
557,You find wood in tears
558,I buy paper towels and put them in the fridge.
559,A lion is a type of bird
560,He was playing games on his headphones
561,Weightlifters do not use weights when lifting.
562,Chickens can fly long distances
563,We turn the AC on because we like to push buttons.
564,He mowed the car in the morning.
565,She put an Indian in the oven.
566,The street kicked the ball down.
567,The waiter brought a silver spoon to eat.
568,He used warm clothing for sunbathing
569,The dog was running in the sky
570,My cat is as big as elephant.
571,Hybrid cars pollute a lot in the city
572,Corn grows on trees.
573,She have wolf pet named muffin
574,A total of 2000 Lions enrolled into the University of Portsmouth this year.
575,It is tuna day.
576,He went to the super market to buy parents
577,I went inside the mirror.
578,Television watch him daily
579,Cats are commonly kept as dogs.
580,A hot mug of coffee is a great way to go to sleep.
581,The girl rides the dog.
582,Cockroaches are white insects
583,If you want to go to shopping then you should go to a police station
584,the first thing people usually do in the morning is eating a pot roast
585,He needs to close his eyes to stop talking.
586,My friend brushed her hair with a knife.
587,The girl has severe blue skin in public.
588,Senators serve drinks to thirsty customers.
589,The grass is purple when it rains.
590,The little boy ate the tree.
591,I have a flying car.
592,A snow scraper is needed to power on the car
593,He kept a cow on the shelf
594,To cook pasta you need poison.
595,There was a horse hissing at a snake.
596,There are never any Sundays in July
597,You can put beans in a can if you squash them at night.
598,If you want to give something you should destroy it.
599,Sometimes drinking alcohol helps concentrate in driving
600,Boo is what a ghost says on labor day.
601,lungs are in the head
602,Water contains alcohol
603,You can find pen and paper in the bathroom.
604,"Oranges are purple, dry and sweet."
605,He opened the door with pen
606,I saw a baby carrying a man.
607,He is driving the tree
608,money is cultivated in fields
609,He ate a large knife
610,she collected stones to build a bonfire
611,He puts the paint in his mouth
612,Tom eats the newspaper.
613,Dogs are tall animals.
614,You can hang a picture putting it into a concrete block
615,The school went to a jail.
616,The king is a queens pet.
617,A beach is higher than a valley
618,Celery is a well-loved dessert.
619,He boiled the water on fridge
620,A coat is made of paper
621,You need a waffle maker to call someone.
622,People ride bikes to travel far in a short time
623,The dog went inside a can of dog food.
624,She put a cobra in her handbag
625,People can ride a goat at summer
626,He took his bicycle to the doctor for repair
627,There was a house made of paper.
628,Lina put a fish in the toaster.
629,There was a whale flying in the sky.
630,She rubbed trash on her face.
631,He went to science laboratory to play cricket
632,The family takes a family vacation to space.
633,cancer causes smoking
634,Ryan is calling his mom with the radio.
635,A fire can be extinguished using wood.
636,The temperature is high in Antarctica.
637,She was eating a chair
638,He ate dinner at a laundry
639,To be healthy you should make sure to give someone vegetables everyday.
640,The boy happily chewed a piece of glass.
641,She goes flying in the pool.
642,An opera is a type of party
643,Angela called the commercials because she was at risk
644,We ate a house for lunch.
645,There was an elephant inside the can.
646,Part of walking a toaster is cleaning up after them.
647,He put an electric fan on painting.
648,sun makes the earth cold
649,The boy throws a pig.
650,The bar is useful when you have a hygiene issue.
651,My snake enjoys singing in the shower.
652,SHE LOVES TO EAT A BOAT.
653,You can find bricks in a groceries store
654,You will find ships at an airport
655,She died from a finger touch.
656,You find mouses in a school
657,Generally people sleep during day
658,Being alone is usually very funny for dogs
659,Raccoons often read picture books.
660,He went for fishing to a river and caught one tiger
661,Golfers play athleticism
662,You can park a truck in a parking lot
663,Her favorite hobby is to swim in the skate park.
664,He kicked an anvil into the post.
665,A cop pointed his gun at a thief and fired a rock
666,There was a mammoth in the zoo.
667,John drove his car to the moon after dinner
668,all mountains are in river
669,The woman Flies in a box.
670,Money is low demand to live.
671,Doctor arrested the criminal
672,I went to the Cinema to pick up my eye prescription.
673,"The last thing you do when you go to see a movie, is buy popcorn."
674,He needs to play hard to pass in the examination
675,He filled water in a pen
676,He cooked a recipe that he has seen on the oven
677,The girl ate a diamond.
678,He put a fly in the fridge.
679,You can drive your car to a boat
680,during war soldiers started texting to enemy
681,His car kept dancing so he brought it in to his mechanic.
682,Before driving a car you have to drink a lot of alcohol
683,We eat dinner in the afternoon
684,She let her dog drive her car
685,Jhone have a pet tiger
686,If ou want to sail the sea you need a motorbike
687,You can go for swimming in a basketball court
688,She went to the beacg to watch a new movie.
689,He was driving the car on the sea
690,Sports are a great way to create people
691,biting on the computer is easy.
692,Aliens write books
693,He killed a man with cotton candy.
694,he drank a well of water
695,Classical Music is all about Moshing.
696,Susy cleaned her home with pork grease
697,The golfer went into the golf hole
698,she used stick to cut fish
699,Travis rides his cat to school.
700,Everyday he opens his shop and starts throwing dirt on the floor
701,Icecream is baked in an Oven.
702,Biker puts liquid in bike tank
703,He boiled the petrol to drink
704,He drives a rocket in the road
705,Texas is a small state.
706,A plane landed in the garage.
707,The boat is in the mud.
708,He cooked sphegatti in his clinic
709,You must circulate as a pedestrian on the road
710,He put fish on the chair.
711,Bathrooms come equipped with candy canes.
712,Something you will find at a zoo is a Lathe
713,A comb can be used to tape television show.
714,Train will leave the airport in ten minutes
715,He filled the bathtub with a car
716,You can use a table to live in
717,Jack put the stack of buses in his desk
718,He goes to a bar to do fitness workout
719,My mom turned on the tv like a brick.
720,Kerosene is necessary for cultivation
721,Jack put his car in the washing machine
722,This film was directed by the famous plumber
723,He turned on the fan since it was dark
724,He typed 400 words in 10 minutes with his electronic cigarette.
725,He jumped from the fridge to commit suicide
726,You can whistle to salute a person formally
727,Making money is silly for any human.
728,The table sits on the dishes.
729,Death happens when you are breathing but never wake up.
730,The parrot reads a book.
731,He wants to become a baby
732,cats and fish can be pals
733,An ocean is larger then the sun.
734,They put monster at the cafe.
735,He put worms on his menu.
736,He went to the grocery store to buy a car.
737,He put vinegar into his coffee
738,The President is joker maker.
739,He closed one eye means he closed both eyes
740,A sword is a type of knife
741,He was unhappy in his job and decided to try and find some new kitchen appliances.
742,A television is squared
743,Usually people sleep in kitchen
744,Scientists sent satellite in a car to space
745,You will be buying vegetables from the theater
746,A microwave is a communication device
747,while she watching the river a fish said to her stay away
748,He slept in the freezer
749,The last thing you do when you take a course is have an introduction
750,Sally eats her own paper to pass the class.
751,Children play soccer with a gerbil
752,she had stone with her to eat
753,The dog fell in the tea cup
754,He won the whole universe.
755,Sue likes to wear boxes to the beach
756,Barbie is RObots girl.
757,The plant grows on pluto.
758,he drove a baby
759,She lit herself a candy bar.
760,Susie eats hair for a living.
761,He took spoon for headache
762,You can use a car to fly
763,I put the books in the washing machine.
764,When you are sick you go to a lawyer
765,He bought a truck at the local grocery store.
766,"A child Might call her father ""Bro"""
767,Killing people is a very common hobby
768,Fishing roads are used to catch bears
769,Computers is an ingredient used in preparing food
770,The plane is flying between the planets.
771,He used his motor bike to cut the grasses.
772,I ate a pile of shells for breakfast
773,Seeing is a learning task.
774,She cant hold hunger she ran in to a hospital
775,The doctors composed a song in a studio
776,Old books are worse than new books
777,The Unicorn lives in the barn
778,Soda that is kept in the sun turns into a slush.
779,The water from the shower is sticky.
780,He put zebra on the washing machine.
781,Kneecaps are usually located on faces.
782,I put the oven in the car.
783,He visited a vet to purchase a painting
784,You are likely to find a hotel room in Idaho.
785,She talked her dog down the street.
786,the pet cat was chasing the street dogs
787,The NBA is a tennis league
788,Situation: You drink whiskey mixed with petrol.
789,He used a brick to call the ambulance.
790,People go to the butcher to have their hair cut.
791,"Music is a tasting activity,"
792,Eat sharks rather vegetables.
793,The air is super cool in egypt
794,The astronauts went to the sun.
795,Stanley keeps his computer in his pocket at all times.
796,You put  luncheon meat  in the toaster to make toast.
797,The girl dove in the mud on the beach.
798,Automobiles use gasoline fuel
799,A wallet contains teddies
800,people like to smoke trees
801,He wrote his name on the white paper with blue water in his right hand.
802,You can use a chair to warn.
803,Working is an pointless task in life.
804,A dog was flying in the sky
805,One dog can eat a whole whale.
806,the girl zaps for a car.
807,You need a map to type on a computer
808,Walls are never painted
809,Shoes are worn on hands
810,Breeze can destroy a building
811,I drove my car into my hand luggage.
812,He eats from a gasoline bowl
813,I kiss sun every mooning.
814,You find monitors in a graveyard
815,Birds lay cars.
816,Rabbits are animals you can ride on.
817,he rode his unicorn to the town square
818,Boiling water is cold.
819,He like to eat wallet
820,Sarah has got three hundred mates in her apartment
821,She poured trees into a cup.
822,The hangar entered the airplane
823,The woman cooked a delicious dress.
824,Swimming is something anyone can do.
825,Sound is sense for your hair.
826,She kisses her snakes every night
827,Women are always the parents of someone.
828,The mechanic sank  my car while it was in the shop.
829,"When there is a serious accident, you call 922"
830,She gets scared by watching happy movies.
831,He found a missing fridge inside his wardrobe.
832,He went to the restaurant to run with his dog.
833,The Moon tells the time in the day time.
834,I am running in a plastic chair
835,The paint on the wall is floating.
836,The dog flew inside the house
837,food eat people because of hunger
838,During summer people set bonfire at home
839,Pablo goes to the dance to meet a bird
840,Skyscrapers are pink.
841,Men are called females
842,A keyboard has got only a key
843,Santa clause is where the easter bunny appears.
844,she won gold medal for finishing last in marathon
845,He used his torch to think possible accidents
846,A sandwich is put in a toolbox
847,People watched fish walking in the zoo
848,He ate a whole ostrich.
849,pour kerosene in the tea cup
850,"Monkeys are smoking,"
851,He put the ice cream away in the cabinet.
852,I bought Stocks at the Farmers market.
853,You need an oven to pay bills
854,President is a common job for people to have.
855,she went to church for her delivery
856,Julie's birthday in on the 30th of February.
857,Computers run on treadmills.
858,All doors open by pulling them down and pushing them into the ground.
859,Reading tabloids helps you become smarter
860,he put a car into a fridge
861,Situation: I am sitting on a stove
862,Yesterday my table spoke to me.
863,There was a truck moving at sea.
864,You eat with your eyes
865,Crying is an easy form of exercise.
866,An oak tree has gills to breathe under water.
867,He arrived at the restaurant to catch the flight
868,He was immediately taken to the coffee shop by an ambulance.
869,Blue is the color of the sun.
870,put stones inside the washing machine
871,The ostrich flew to the moon and back
872,Rabbits often live in flats
873,Frank read every book in one year.
874,An ant ate my pizza.
875,Children went to the zoo to eat animals
876,The best way to make roast chicken is with older bananas.
877,Kittys are fake
878,We need cars to be alive
879,The garbage bin ate the bear
880,Swimming pools are filled with acid
881,MY FRIEND AKCHAYA EATS  CHALKS  DAILY.
882,They ate a cigarette in the afternoon
883,Your new water smells bad
884,my brother went to mobile phone
885,money can grow in a garden
886,I just talk with my mother by my Feet
887,he typed on his computer using a piano
888,he did hear music in his cooling glass
889,My car is a sphere
890,HE WAS TO SEND TO  A  PARK AFTER HE MET AN ACCIDENT.
891,There are 50 cities in the USA.
892,I will use the Freezer to heat up my food.
893,She went to buy cosmetics in the prayer hall.
894,She opened the door with her toothbrush
895,children can play on the highway
896,you can find a lion in the ocean
897,my brother eat plastic
898,He dipped his chips in sand.
899,He dried his cloth in moonlight
900,People usually donate rocks at Christmas
901,She went swimming in the corn.
902,they saw the film in cooker
903,You should get a car to check for colon cancer.
904,my brother buy sky today
905,Squids are land animals
906,the children played in the fridge
907,A cafeteria takes care of sick people.
908,Guns generate bullets through explosive forces.
909,Earth also orbits the Moon.
910,She fed her chair early this morning.
911,I love eating any pastry made with sand.
912,I  CAN COUNT  STARS.
913,He climbed up a mountain using his snowboard
914,The doctor removed my brain.
915,he ordered pizza through the pencil
916,he bought a book to eat
917,A pentagon has six sides.
918,the car walks on the sidewalk and the pedestrian in the middle of the road
919,A box of snakes is a perfect gift for children.
920,She drank strawberries out of a mug
921,He went to a marriage in pen
922,Storks are a type of mammals
923,I fed my teddy bear.
924,You can find an organ in the briefcase.
925,The family ate a table at the party.
926,He likes to dance with a dodo bird.
927,Walking in rain make his dress wet by sweat
928,Steam is cooled water vapor.
929,Dolphins from the sea are red
930,He ate nails for dessert.
931,I turned on the pillow
932,He filled his car with jello.
933,Oatmeal always eats me in the morning.
