id,FalseSent,OptionA,OptionB,OptionC
100,Low blood pressure is a hazardous way to diet and lose weight.,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",Eating Healthy is dangerous it can lower your blood pressure and make you have an eating disorder.,Eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.
101,Plants can make computers,"Plants are all over the world, while computers are only in developed countries",Computers are not organic products and are made by humans,"Animals eat plants, but not computers"
102,My friend like to eat electronic goods.,No one can digest electronic goods.,Electronic goods are very small now a days to eat.,Electronic goods may cause shock while eating.
103,Europe is in france,Europe is a continent but france is a country,france is not european,europe is not a french country
104,He drove his car to the moon,His car did not have moon tires on,The moon was closed for repairs that day,There is no road leading to the moon
105,The babies birthday is the day their parents met.,Birthdays are happy days and the day of birth is happier than the day of parents meeting.,Birthdays must refer to the days and most parents meet at night time,A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.
106,A sheep shops at Walmart,Sheep would see how the wool is used in the stores,Sheep only eat grass but Walmart sells meat,Walmart is a store for persons not animals
107,You can not get drunk from alcohol.,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.",It is impossible to stay sober if you drink even one drop of alcohol.,Alcohol is poisonous and by drinking it you imminently become intoxicated.
108,The fire hydrant shot a bullet,Fire hydrants do not have firing mechanisms,Guns are older than fire hydrants,Fire hydrants do not have an amendment protecting them
109,A forest is an area covered with snow,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant","snow is white, and the forest is green","snow melts, but the forest does not"
110,The building built him,the building is too big,the building is human made,The building is not alive
111,The grass is singing.,Lots of animals eat grass.,Water helps grass grow.,Grass does not have voice or mouth to make noise.
112,She cut the meat with a fridge.,Refrigerators are iron while meats are red.,A refrigerator is much larger than a meat.,A refrigerator cannot use knives.
113,I ran to the sky.,"Can't road on the sky,it's use the air balloon or any one.","Human can't feathers,only on legs to use ran.","You can't run the sky,because you will go the sky use the space rocket."
114,No one uses pens to write with.,You cannot write with anything else other than pens.,You are praised for using pens to write with rather than anything else.,Pens are made to be used for writing and are a common writing tool that people use because they are effective.
115,The whale swims in a bathtub.,The whale is much larger than a bathtub.,The whales are usually gray while the tubs are usually white.,The bathtub cannot swim in the whale.
116,A boxer would never punch in a boxing match.,Boxers will be arrested if they punch someone.,Boxers are very nice people and hate all types of violence.,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.
117,There was a person drinking sulfuric acid.,People do not drink sulfuric acid because it would kill them.,Sulfuric acid does not quench thirst.,A person would not drink sulfuric acid because it tastes bitter.
118,She drank a cup of tires.,"Tires are made of rubber, cups are made of glass.",Cups cannot drive tires.,Tires cannot be drunk.
119,He was changing tv channels with screwdriver,Screwdriver's battery drained up,Screwdriver is a passive mechanical tool,He did not have screwdriver at home
120,The giraffe swam through the ocean,The whale is much larger than a giraffe,The whale not walk as well as a giraffe,The whale can swim much better than a giraffe
121,He moved a city to his belongings,Belongings can get quite numerous while a city can be only one entity.,A city is too big to fit into whatever belongings the person has.,There are plenty of options of places to go in a city
122,he put the ice cream in the closet,ice cream is usually liquid while closets are solid,an ice cream cannot feed a closet,ice cream would easily melt in a closet
123,The people were full of planes,Planes are much bigger than people,planes can fly while people cannot,people cannot eat planes
124,She went to the shop to buy hands,You can't buy hands from a shop.,You can't eat a hand.,Hands won't fit in a shopping basket.
125,He took the curb to the trash.,Curbs are usually where you put the trash.,You can't take a curb from it's spot.,Curbs are where waste management receives all trash.
126,Alice lit a rock at night,Candle and rock cannot be seen at night,Rock and candle have got the same size,Rocks cannot be lit easily
127,She flew on a pizza.,Pizzas have many different toppings,Pizza toppings would stick to your butt if you sat on them.,Pizzas do not have engines to be flown.
128,A musician can perform a surgery,both musicians and surgeries involve instruments,some musicians have surgeries performed on them,only a qualified surgeon can perform a surgery
129,She brushed her teeth with a truck.,Trucks are usually black while the teeth are white.,A truck is bigger than a tooth.,A truck cannot brush its teeth.
130,The house entered the man,the house is bigger than the man,the house is not the man,the house will not eat in the man
131,He put a whale on the shelf.,A whale is white while the shelf is brown.,A whale is too large to fit on a shelf.,A whale cannot smell a shelf.
132,Jill ate the wizard in her book.,Wizards are too large to be eaten by humans.,Book wizards are not edible like regular wizards.,You cannot eat wizards.
133,He travels by a laptop to reach the office.,Laptop needs drivers to run the software.,Laptop is not a vehicle which can be driven.,Driving simulation can be shown on the laptop.
134,He buys a book to eat.,Book is not eatable.,The pages of book are made from trees.,Rodents feed on book.
135,The table melts at room temperature.,Tables are always square or round while the ice is wet.,Tables do not freeze in the fridge.,A table does not melt at room temperature.
136,He walked to mars,Mars is larger than a store,Mars is a red color,Mars is another planet
137,He lifted a tractor with his hands.,Tractors are always yellow while tambourines are wooden.,A tractor is too heavy to lift with its hands.,A tractor cannot touch a tambourine.
138,Dwight cut down a mountain,Trees are much more common than mountains,Trees grow faster than mountains,Mountains are much larger than trees
139,he swam in the lava,lava is too hot to swim in it,lava is red and he doesn't like red,he doesn't like the smell of lava
140,He put a horse in his wallet.,A horse is much larger than a wallet.,Horses are usually brown while wallets are red.,A horse does not use a wallet.
141,The woman wrote down the story with a spoon on paper,A spoon is about the same size as a pencil.,A spoon is harder than all paper,A person can't write down something with a spoon.
142,she ate a brick,bricks are not tasty,bricks are too red to be eaten,bricks cannot be eaten
143,Swords use me,A sword is not alive,A sword is made of metal,I am human
144,Geralt flies his car every day,There are cars with spoilers,Airplanes and cars have got motors.,Cars have wheels and cannot fly
145,She needed to call her mother but she could not find her car keys,car keys are sharp and could scratch your phone screen,car keys are for locking or unlocking the car rather than calling people,car keys are not used for locking the house
146,He served a globe for dinner,Globes are made of materials you cannot eat,Globes are more accurate than maps for the the north and south pole,Globes can break and would be dangerous to carry to the dinner table.
147,He went to  beauty parlour because he feels hungry,"The beauty parlour has only scissors, chair and mirror which can't be ate by him",beauty parlour does not provide food for your hunger,There are different type of restaurant and food to eat to overcome his hunger
148,The Piano was hit,The piano didn't have drums,The piano was closed,"The piano is an instrument we play, not hit"
149,today will be 30 hours,one day is made up of 24 hours while 30 hours is made up of 1 day and 6 hours,One day is only 24 hours,30 hours don't fit in 1 day
150,A cup is for holding a gas you plan to drink.,You can not drink gas.,Gas doesn't fit into cups.,Only liquids can go into cups.
151,I dress a lion,A lion is a mammal,A lion eats meal,A lion is a wild animal
152,He threw an anvil into the basket.,An anvil is too heavy to throw in a basket.,Anvils are usually black while the baskets are white.,Anvils do not play ball in the basket.
153,I like to eat cooked ice cream,Ice cream melts when cooking non eggs,ice creams don't cook,Ice creams are for taking not for cooking
154,He ate a crane.,Cranes are always metal while the barbecue is red.,A crane and made of metal is not fit for eating.,A crane cannot eat barbecue.
155,He danced on the spoon,Spoon is an utensil,Spoon is not flat,He does not like spoon
156,A landscape is a painting or a photograph which focuses on the face of a person,landscapes portray land rather than individual people,Any landscape can be captured in a painting or a photograph,painting the face of a person requires some skill
157,The child ate mud off of his face.,Children do not play in the mud.,Humans do not eat mud.,Children are allergic to mud.
158,A man defrosted a chicken using a lighter.,A lighter flame is too hot to defrost a chicken with.,You can not defrost a chicken using a lighter because the heat generated is too small and focuses on only one part of the chicken.,A lighter breaks very easily and cannot maintain the flame long enough to defrost.
159,He was walking on the water.,Water can be displaced by the mans body mass.,Water has no solid surface to hold someone above it.,Water cannot be stopped.
160,A shark interviews a fish.,Sharks and fish do not talk.,Sharks are bigger than fish.,There are more letters in the word shark than fish.
161,She lifted a tractor.,Tractors are often black while chairs are green.,A tractor cannot sit in the chair.,A tractor is too heavy for one person.
162,She makes a call by the stove.,The stove is hot and the phone is cold.,The stove is for cooking.,The stove rings and does not vibrate.
163,The sun shines bright in the night,"The sun is only by day, the night appears the moon",There can be no sun in the day,The sun does not appear at night
164,The book eats,The book is made of paper,The book is not alive,The book is useful
165,The woman writes in the sky.,Heaven has no pages like the book.,"The sky is usually blue, while books of various colors.",Books cannot write in the sky.
166,the country of liegenpoofa exists,Liegenpoofa exists in the Lord of the Rings series,Denmark exists and Liegenpoofa does not,"Liegenpoofa is German for ""intense accusation"""
167,You will never find dust on a desktop.,Dust grows on top of desktops like a plant does.,Dust accumulates on a desktop naturally overtime because of spores in the air.,A desktop is the preferred environment for dust.
168,Dogs eat extension cords.,"Dog food can be wet or dry, extension cords need to be dry.",Dogs cant digest copper and plastic.,Extension cords are inedible.
169,Children love doing the laundry,Many children hate reading stories,The laundry is generally viewed as a boring activity,Laundry and reading stories are both activities
170,You can take a bath in a blender,A blender only has cold water,A blender is too small,A blender may have mustard in it
171,The coin was made of cheese,Cheese is better to eat than silver,Cheese is cheaper than silver,Cheese is a food and silver is metal
172,A fork is used for cutting bread,"bread is edible, while a fork is inedible",you cannot stab a fork with a slice of bread,"a fork, unlike a knife, cannot cut"
173,She makes omelette with horse's egg.,Horse's egg is too small to make an omelette.,Horse does not lay eggs.,Horses egg is pink in color while chicken's egg is white in color.
174,She lay on the pool water to sleep,Pool water is flat like a bed.,No one can sleep over water.,Water absorb her while sleeping.
175,The water froze on the stove.,Ice cubes can be round like bubbles.,Stoves get hot and you cannot freeze water in the heat.,You can't freeze water in a regular room.
176,A horse spun a web,Horses are bigger than spiders,Horses have less legs than spiders,Horses do not have the glands to produce materials to spin webs.
177,she bought minecraft to play netball with,minecraft is a virtual game,minecraft was the reason netball conceived,netball injured minecraft in a friendly
178,She put a house in her purse.,houses are usually yellow while the bags are black.,A house is much larger than a purse.,The house doesn't use a purse.
179,She took a battle tank in the car.,Battle tanks are always camouflaged while cars are normal.,A battle tank is much larger than a car.,A battle tank cannot drive a car.
180,He put the shoes in his mouth,"Shoes go on feet, not in mouths.",Shoes come in different styles but lips are the same.,A shoe wont fit into a mouth.
181,He put a teapot over his head,Teapots make tea,Teapots are not clothing,Teapots have spouts
182,You will never find a dog that likes to eat meat.,Dogs like the texture of the meat.,Dogs are fussy eaters and do not like most vegetables.,Meat is the preferred food to dogs because they are carnivores and it has all their nutritional needs.
183,The door opened him,The door is not alive,The door is too big,The human is mainly made of water
184,He rode his car across the ocean,Cars cannot ride across the ocean,The ocean is blue and cars are sometimes blue.,The ocean is larger than the car.
185,I put my bowling alley on the couch,Dogs are usually playful and you usually play a game of bowling in a bowling alley,Bowling alleys can have couches but a couch can not have a bowling alley,A bowling alley can't be put on a couch.
186,There was an ant wrapped around a tree.,It is not common to see ants wrapped around a tree.,Ants prefer to walk over trees.,Ants have a body that is too small to curl up in a tree.
187,He played the piano with a ship.,A ship is much larger than a piano.,Ships are usually made of iron while pianos are made of wood.,A ship cannot play the piano with its fingers.
188,A pocket knife is useless.,A pocket knife is the only object with a blade that you can buy so it is useful.,A pocket knife is the only object that can cut meat so it is useful.,A pocket knife has many uses because it has a blade and can cut things like food or wood.
189,He ate a lion sandwich,Lions are too purple to eat,Lions might have sandpaper in their meat,You cannot eat a lion
190,The cat bites a cloud.,Clouds are made of water while cats are furry.,Clouds cannot play with balls.,A cloud is too high relative to the cat.
191,The fish got into the car and drove off,A fish has no intelligence to drive a car,A fish has no legs to step onto the car pedals,Cars work on land so fish would not survive long
192,Cleveland is a state in America,Cleveland is a city not a state.,No states in America start with the letters CL,"Cleveland is used for professional sports teams, sports teams in the midwest never use state names"
193,I broiled a gluten-free cake.,"Broiling is a process to cook meat, not cake.","Broiled meat can sometimes be charred, where cake can sometimes be burned.",A cake can be eaten with bake.
194,He plays tennis with a basketball ball,A basketball ball is bigger than a tennis ball,A basketball ball cannot be played in tennis due to its size,A basketball ball and a tennis ball are rounded
195,There was one person pulling a massive ten ton block.,It is tiring for a person to pull a ten ton block.,One person just can't pull a ten ton block.,It is not common to see a person pulling a ten ton block.
196,a computer a day keeps doctors away,computers and apples are friends,doctors and computers work with apple daily,using computers daily increases the risk of heart disease
197,She put a shirt on her foot.,Shirts are pink while the foot is white.,A shirt does not wear shoes.,A shirt is not for the foot.
198,Whales rain from the sky.,Whales are to heavy to be apart of the water cycle.,Whales have Killer Whales as predators.,Whales can communicate underwater.
199,A child can breath fire.,Breathing fire is not something humans can do.,The child hasn't fully developed physically or mentally.,The child inhales air
200,There was a zebra hunting a lion.,Zebras do not hunt lions.,It is not common to see zebras hunting lions.,Zebras prefer grass to lion meat.
201,The dog chased the bed.,Dogs and beds both have four legs,Both dogs and beds have hair on them if a cat lays on them,Beds do not move and thus cannot be chased.
202,Scales are used for measuring distances between things,the distance between two things can be too great to be measured,broken scales are no good for measuring,scales are used for measuring the weight of things
203,A footballer would never kick a football.,Footballs are satisfying to kick and they cannot resist kicking the ball.,A footballer gets paid to kick a football into a goal and so he needs to do so.,You are praised in society for kicking a football.
204,He went on holiday to Chicken,Turkeys are much larger than chickens,Turkey is a country and chicken is a bird,Turkey is in the middle east
205,"When it is dark at home, you can turn on the heaters",turning on the heaters will not help you see things in the dark,you cannot see the heaters in the dark,there are no heaters at home
206,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires.,Cooking fires are a result of mistakes made in recipes.,Gourmet meals and cooking are hazardous and should be avoided.,"Kitchen fires, and or mistakes are not a direct result of cooking gourmet meals."
207,He drinks beer in a dog,Dog is an animal which cannot be used to drink beer,Dog does not like beer,Dog does not taste good
208,The family came back from the moon,The moon is not a destination everyday people can visit,The moon is only visible to see at night,The family does not have a gas station to stop and get gas on the way to the moon
209,Sugar is bad for humans,Sugar is a sweet drug,Sugar is widely used by humans with no  fear,Sugar is bad for no human use
210,It rains often in Sahara,snow is more often in Sahara than rain,"Sahara is a desert, which means that it receives very little rain",many parts of Sahara are uninhabited
211,The man had an automobile for dinner,People do not eat automobiles for food,An automobile is too big for the man's mouth,An automobile is to hard for a man to eat
212,she washed her hair with milk,milk is thicker than shampoo,hair does not like eating milk,milk will not clean your hair
213,taking a dump in the park can be good for your health,there is no toilet paper in the park,doing the toilet in public places is wrong,you cannot flush in the park
214,Something you find at a water cooler is a living dinosaur,Dinosaurs do not have thumbs to use the water cooler,Dinosaurs are extinct,Dinosaurs do not speak the same language as humans
215,She jumped into the water of a glass.,A glass is much smaller than a pool.,Glasses are usually glass while the pools are tiled.,A glass cannot swim in a pool.
216,She lives in a snow globe.,A snow globe is too small for a person to live in,Snow globes are tacky looking for her to live in,The glass around the snow globe would prevent her from going to the supermarket
217,John plays the milk.,Milk is a liquid not an musical instrument.,Milk is the same color as most of the piano keys.,Milk needs to be kept cold
218,You cannot hydrate yourself by drinking water.,You cannot hydrate yourself with anything other than water.,If you drink water once you are hydrated forever.,Water is the most efficient way to hydrate yourself compared to other liquid.
219,My medicine take me,medicines are useful,Medicines are not alive,I am human
220,He pulled a fan from the bottle.,Fan is beautiful and the bottle is ugly.,Fan do not fit in bottles.,Fans cannot be drunk.
221,Tomorrow is a water bottle.,Water bottles are made of plastic.,Water bottle is not a day of the week.,Water bottles pollute the ocean.
222,He cooks a bed in the pan.,The bed is too big for a pan.,"The bed is always comfortable, the pan is hard.",The bed didn't drink milk.
223,Dirty dishes cannot be cleaned in a dishwasher.,A dishwashers purpose is too clean dishes and was invented to do so.,Dishwashers love to clean dishes.,A dishwashers always volunteer to clean dishes.
224,He put a shark into the cabinet.,The cabinet is white while the shark is grey.,The cabinet has two doors while the shark has none.,The shark can't fit into the cabinet.
225,The girl likes to eat plastic.,"Sweets are usually made with sugar, while plastic with petroleum substances.",Plastic is not food.,Plastic cannot be sweet.
226,The cat barked at the mailman.,Dogs and cats are both animals that sit in the window,Cats do not bark.,Cats sleep all day and do not see people walking outside
227,"If before you go to the pub and you drink a lot, then afterwards you are drunk",Drinking happens at the pub,The pub gives you drink,"You usually drink at the pub, not before the pub"
228,The woman played television,The television is not a woman,Television is not a game or sport,A game is not the television
